Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,1.26998,1.41,1.25005,1.39007,6078
2015-01-05,1.35999,1.39997,1.35999,1.39007,790
2015-01-07,1.39007,1.43006,1.39007,1.42003,12633
2015-01-08,1.42003,1.43996,1.37001,1.43996,4885
2015-01-09,1.43006,1.52007,1.43006,1.43996,85335
2015-01-12,1.43006,1.48998,1.43006,1.44999,18119
2015-01-13,1.41,1.43996,1.35999,1.43996,21445
2015-01-15,1.39997,1.39997,1.35999,1.39007,15656
2015-01-16,1.35999,1.39997,1.34005,1.34005,9342
2015-01-19,1.32,1.32,1.29994,1.32,7380
2015-01-20,1.32,1.34996,1.29994,1.32,11048
2015-01-21,1.32,1.37001,1.32,1.37001,2285
2015-01-22,1.34996,1.37001,1.32,1.35999,7379
2015-01-23,1.34005,1.34005,1.33003,1.33003,2755
2015-01-26,1.32,1.34996,1.32,1.34005,3462
2015-01-27,1.34005,1.34996,1.34005,1.34005,4586
2015-01-28,1.32,1.37001,1.32,1.37001,1150
2015-01-29,1.32,1.33003,1.30997,1.32,13503
2015-01-30,1.32,1.32,1.29004,1.30997,5132
2015-02-02,1.32,1.34005,1.25995,1.25995,14565
2015-02-03,1.25005,1.26998,1.21996,1.24002,29086
2015-02-04,1.22999,1.33003,1.21996,1.28001,41578
2015-02-05,1.26998,1.28001,1.26998,1.28001,4628
2015-02-06,1.26998,1.26998,1.25995,1.25995,6050
2015-02-09,1.22999,1.25995,1.22999,1.25995,5149
2015-02-10,1.21996,1.34005,1.21996,1.30997,52342
2015-02-11,1.29994,1.29994,1.29004,1.29004,3079
2015-02-12,1.29004,1.29004,1.22999,1.22999,32985
2015-02-13,1.25005,1.25005,1.22999,1.22999,13408
2015-02-16,1.24002,1.26998,1.24002,1.25995,6016
2015-02-17,1.26998,1.26998,1.22999,1.24002,34714
2015-02-18,1.22999,1.25995,1.21996,1.25005,23914
2015-02-19,1.25005,1.29004,1.24002,1.24002,8931
2015-02-20,1.25005,1.25005,1.22999,1.22999,5060
2015-02-23,1.22999,1.22999,1.20993,1.20993,13526
2015-02-24,1.21996,1.32,1.20003,1.32,88767
2015-02-25,1.32,1.34005,1.30997,1.30997,50523
2015-02-26,1.32,1.35999,1.32,1.32,31353
2015-02-27,1.32,1.35999,1.29994,1.35999,18952
2015-03-02,1.34996,1.46002,1.34996,1.43006,72839
2015-03-03,1.43996,1.55003,1.38004,1.39997,91016
2015-03-04,1.43996,1.57999,1.43006,1.55003,160342
2015-03-05,1.54,1.54,1.43996,1.47005,501148
2015-03-06,1.47005,1.50001,1.44999,1.48998,9100
2015-03-09,1.47005,1.48998,1.43006,1.47005,50968
2015-03-10,1.48008,1.48008,1.39997,1.47005,19050
2015-03-11,1.41,1.46002,1.41,1.44999,9696
2015-03-12,1.43996,1.43996,1.43006,1.43996,122578
2015-03-13,1.42003,1.43006,1.41,1.43006,12042
2015-03-16,1.41,1.44999,1.39997,1.41,4258
2015-03-17,1.38004,1.39997,1.38004,1.39007,20961
2015-03-18,1.41,1.41,1.39007,1.39007,1960
2015-03-19,1.38004,1.44999,1.35999,1.39997,123231
2015-03-20,1.37001,1.39007,1.37001,1.39007,10351
2015-03-23,1.37001,1.48998,1.37001,1.47005,68532
2015-03-24,1.48008,1.48008,1.43996,1.46002,10099
2015-03-25,1.43996,1.47005,1.39997,1.46002,19323
2015-03-26,1.39997,1.43996,1.39997,1.43996,12149
2015-03-27,1.47005,1.47005,1.39997,1.43996,269
2015-03-30,1.43996,1.43996,1.39007,1.39007,8533
2015-03-31,1.38004,1.54,1.38004,1.50991,224928
2015-04-01,1.52007,1.69005,1.50001,1.66999,315091
2015-04-02,1.66999,1.66999,1.59001,1.64993,62552
2015-04-07,1.6201,1.73994,1.6201,1.73994,149567
2015-04-08,1.73994,1.73994,1.60995,1.68002,87048
2015-04-09,1.68002,1.72001,1.68002,1.69995,24388
2015-04-10,1.65996,1.68002,1.65996,1.66999,5034
2015-04-13,1.70998,1.70998,1.55003,1.59001,35804
2015-04-14,1.65996,1.66999,1.59992,1.66999,23055
2015-04-15,1.66999,1.66999,1.6201,1.64993,16132
2015-04-16,1.64993,1.68002,1.60995,1.68002,21380
2015-04-17,1.64993,1.73004,1.6201,1.73004,69392
2015-04-20,1.72001,1.74997,1.69005,1.74997,54046
2015-04-21,1.73994,1.74997,1.72001,1.74997,40149
2015-04-22,1.73994,1.73994,1.69995,1.69995,19878
2015-04-23,1.69995,1.72001,1.69005,1.70998,10787
2015-04-24,1.65996,1.70998,1.60995,1.6201,55480
2015-04-27,1.68002,1.68002,1.63,1.63,5310
2015-04-28,1.6201,1.68002,1.6201,1.66999,92662
2015-04-29,1.66999,1.66999,1.59992,1.64003,9574
2015-04-30,1.59992,1.64003,1.57999,1.64003,29112
2015-05-04,1.59001,1.66999,1.59001,1.65996,23129
2015-05-05,1.64993,1.64993,1.55993,1.60995,93709
2015-05-06,1.60995,1.66999,1.59992,1.65996,51844
2015-05-07,1.64993,1.65996,1.64003,1.65996,18907
2015-05-08,1.65996,1.73994,1.64003,1.73994,80440
2015-05-11,1.69995,1.82004,1.69995,1.81001,163330
2015-05-12,1.81001,1.83997,1.78996,1.83997,63207
2015-05-13,1.83997,1.83997,1.76,1.78005,50919
2015-05-14,1.78005,1.82004,1.78005,1.78005,42667
2015-05-15,1.78005,1.79998,1.76,1.79998,18906
2015-05-18,1.64993,1.64993,1.57008,1.63,141753
2015-05-19,1.63,1.68002,1.63,1.68002,134690
2015-05-20,1.64993,1.68002,1.63,1.66999,62358
2015-05-21,1.64993,1.66999,1.60995,1.64003,14137
2015-05-22,1.64003,1.64003,1.57999,1.64003,52658
2015-05-25,1.63,1.63,1.63,1.63,225
2015-05-26,1.59001,1.64003,1.57999,1.63,12235
2015-05-27,1.59992,1.6201,1.59992,1.6201,17401
2015-05-28,1.59001,1.59001,1.43006,1.43006,282607
2015-05-29,1.39997,1.42003,1.34996,1.39007,136093
