Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,114.01042,115.44134,113.09422,114.70015,123
2015-01-05,114.70015,116.20313,114.55603,115.90459,1099
2015-01-07,115.90459,115.90459,112.66186,114.01042,1656
2015-01-08,115.00898,118.69437,113.65012,117.48993,2696
2015-01-09,117.59287,119.99147,117.59287,118.79732,1367
2015-01-12,118.20024,119.45616,114.55603,115.00898,13383
2015-01-13,116.30607,116.30607,114.09278,114.09278,336
2015-01-14,114.01042,114.85456,111.99272,113.85601,439
2015-01-15,113.85601,113.95895,110.99417,111.70448,550
2015-01-16,110.99417,110.99417,108.30733,108.99705,653
2015-01-19,108.25586,110.0059,106.01168,106.01168,5764
2015-01-20,104.08663,105.00283,102.25628,103.20131,5800
2015-01-21,104.91018,104.91018,102.99542,103.20131,345
2015-01-22,103.56161,106.897,103.51014,105.85726,4620
2015-01-23,106.06315,110.0059,106.06315,110.0059,525
2015-01-26,110.0059,110.51033,108.20438,108.20438,542
2015-01-27,107.20583,107.75143,105.49696,105.70285,584
2015-01-28,104.03515,105.39401,103.4072,105.39401,13621
2015-01-29,105.39401,107.34995,104.18957,104.18957,443
2015-01-30,107.60731,107.60731,105.00283,106.19698,532
2015-02-02,106.99994,107.50437,105.00283,105.00283,1076
2015-02-03,105.96021,106.01168,104.54987,104.54987,2761
2015-02-04,104.4984,105.75432,104.4984,105.00283,1174
2015-02-05,105.80579,108.99705,105.80579,108.99705,6767
2015-02-06,109.90296,113.44423,109.29559,111.8486,1910
2015-02-09,112.80598,112.80598,110.40739,112.4045,1764
2015-02-10,110.59268,117.00609,110.59268,116.90315,1543
2015-02-11,117.48993,119.50763,117.25316,117.94288,2188
2015-02-12,116.04871,118.79732,115.10163,117.79876,1655
2015-02-13,117.99435,118.50907,115.99724,117.48993,10881
2015-02-16,117.00609,117.64434,113.04275,113.04275,2508
2015-02-17,114.01042,114.01042,112.99128,112.99128,440
2015-02-18,112.61039,112.99128,107.85438,107.9985,2836
2015-02-19,108.49263,110.94269,107.9985,110.0059,770
2015-02-20,110.45886,110.45886,107.69996,107.69996,1193
2015-02-23,107.69996,107.69996,105.49696,106.49552,1490
2015-02-24,106.49552,109.29559,104.91018,108.20438,6804
2015-02-25,108.20438,110.99417,108.20438,110.78828,1365
2015-02-26,111.88978,112.89863,111.04564,111.99272,6164
2015-02-27,116.50167,116.8002,113.4957,116.39872,7237
2015-03-02,116.90315,117.89141,116.39872,117.48993,4574
2015-03-03,130.51234,133.00358,125.00484,126.10634,13397
2015-03-04,126.99166,126.99166,123.10037,125.10778,14479
2015-03-05,125.40632,125.69456,125.15925,125.40632,14275
2015-03-06,125.21073,125.49897,125.00484,125.00484,2122
2015-03-09,125.00484,125.21073,123.29597,124.38717,10280
2015-03-10,123.99599,124.85042,123.10037,123.99599,1198
2015-03-11,122.64742,125.00484,122.64742,124.09893,762
2015-03-12,124.49012,125.00484,124.09893,124.09893,1981
2015-03-13,125.2622,125.2622,122.09152,123.91363,545
2015-03-16,123.91363,123.95481,123.91363,123.95481,141
2015-03-17,125.00484,125.00484,121.99887,122.09152,19294
2015-03-18,122.99743,125.00484,122.24594,123.50186,1652
2015-03-19,124.59306,124.59306,122.99743,122.99743,223
2015-03-20,122.99743,124.85042,122.99743,124.79895,851
2015-03-23,124.95337,126.40487,121.50474,121.50474,4702
2015-03-24,124.64453,124.85042,122.04005,122.24594,3416
2015-03-25,122.04005,122.99743,121.84446,121.9474,2024
2015-03-26,121.50474,121.9474,121.15473,121.15473,288
2015-03-27,121.10326,121.99887,120.49589,121.15473,1129
2015-03-30,122.90478,122.90478,120.09441,120.09441,2215
2015-03-31,120.09441,121.99887,119.14733,119.25027,1390
2015-04-01,120.49589,121.65916,120.04294,121.60769,1187
2015-04-02,121.70034,121.99887,120.19735,121.70034,37847
2015-04-07,124.69601,124.69601,122.143,122.5033,1170
2015-04-08,124.59306,124.59306,123.15185,123.99599,536
2015-04-09,122.5033,123.99599,121.99887,122.99743,779
2015-04-10,122.99743,129.90497,122.99743,123.91363,8458
2015-04-13,128.40199,128.40199,126.00339,126.20928,10478
2015-04-14,126.55929,127.90786,121.99887,127.4549,4078
2015-04-15,125.40632,126.10634,124.74748,125.15925,2985
2015-04-16,126.88871,126.88871,122.60624,125.00484,3555
2015-04-17,125.90045,128.35052,123.99599,125.95192,1099
2015-04-20,126.05487,128.49464,126.05487,128.00051,833
2015-04-21,128.49464,132.80799,128.00051,130.99617,5568
2015-04-22,132.91093,132.91093,130.99617,131.99473,4200
2015-04-23,133.00358,133.00358,130.99617,130.99617,4031
2015-04-24,131.5006,131.5006,131.5006,131.5006,837
2015-04-27,133.00358,133.00358,129.99762,131.75796,1541
2015-04-28,131.99473,131.99473,125.49897,126.30193,3443
2015-04-29,126.99166,133.48742,126.99166,133.38447,32687
2015-04-30,133.48742,135.00069,133.38447,134.00214,3105
2015-05-04,135.00069,135.89631,134.00214,134.00214,2868
2015-05-05,135.00069,135.00069,133.00358,133.79625,1354
2015-05-06,135.89631,135.89631,133.30212,133.95067,3038
2015-05-07,133.95067,134.00214,133.48742,133.48742,568
2015-05-08,133.95067,134.10508,133.95067,134.00214,1580
2015-05-11,135.29923,136.80221,135.29923,135.79336,4093
2015-05-12,136.95663,136.95663,134.00214,134.89775,1412
2015-05-13,133.48742,134.54774,131.04765,132.95211,1715
2015-05-14,132.85946,132.85946,128.00051,130.89323,7389
2015-05-15,133.43595,133.43595,131.09912,131.5006,918
2015-05-18,139.9523,144.99655,137.99636,142.00088,7334
2015-05-19,140.95085,142.00088,137.99636,139.4067,11950
2015-05-20,135.00069,137.49194,130.20351,134.54774,21059
2015-05-21,129.99762,136.95663,129.99762,136.95663,3396
2015-05-22,137.69783,139.00521,136.99781,137.99636,1205
2015-05-25,139.00521,139.00521,135.99925,135.99925,450
2015-05-26,137.25517,137.25517,134.00214,134.94922,706
2015-05-27,134.00214,134.50656,133.64183,134.50656,1137
2015-05-28,136.80221,136.80221,134.00214,135.00069,256
2015-05-29,136.70956,136.70956,134.05361,135.00069,183
2015-06-01,135.84483,136.70956,135.00069,135.99925,485
2015-06-02,136.90516,136.90516,135.55659,135.99925,330
2015-06-03,135.99925,135.99925,134.00214,134.89775,10381
2015-06-05,134.00214,135.00069,134.00214,134.05361,20233
2015-06-08,134.05361,134.05361,131.5006,131.5006,35849
2015-06-09,130.51234,130.51234,124.20187,129.59614,3658
2015-06-10,128.99906,133.48742,128.99906,133.48742,1888
2015-06-11,129.99762,132.91093,129.99762,132.49916,2316
2015-06-12,133.25065,134.2595,129.99762,133.79625,3399
2015-06-15,133.79625,136.70956,133.79625,136.70956,1715
2015-06-16,136.85369,136.85369,134.15655,135.99925,683
2015-06-17,135.99925,139.00521,134.59921,135.00069,11094
2015-06-18,137.85224,137.85224,134.20803,135.99925,494
2015-06-19,137.49194,137.7493,135.00069,136.04043,2257
2015-06-22,136.19484,139.90083,136.19484,139.74641,14314
2015-06-23,139.69494,139.74641,137.59488,139.50964,10853
2015-06-24,139.69494,139.69494,135.69042,137.49194,658
2015-06-25,135.99925,136.70956,135.50512,135.50512,397
2015-06-26,135.50512,135.99925,133.48742,135.40218,395
2015-06-29,130.99617,134.00214,127.90786,134.00214,2417
2015-06-30,130.99617,134.00214,130.99617,134.00214,714
2015-07-01,131.19177,135.00069,131.19177,134.00214,700
2015-07-02,134.00214,134.00214,131.19177,132.49916,915
2015-07-03,132.75652,132.85946,132.44768,132.44768,63
2015-07-06,132.85946,132.85946,128.70052,132.80799,780
2015-07-07,132.55063,132.75652,131.5006,132.29327,357
2015-07-08,132.44768,132.44768,129.99762,130.99617,1478
2015-07-09,130.79029,133.48742,130.68734,133.48742,1296
2015-07-10,133.43595,133.48742,130.99617,131.65502,729
2015-07-13,133.89919,133.95067,131.99473,132.80799,831
2015-07-14,133.00358,133.00358,131.99473,131.99473,3648
2015-07-15,131.99473,131.99473,130.99617,131.24324,993
2015-07-16,131.24324,132.49916,131.24324,131.95355,2719
2015-07-17,131.99473,132.95211,130.99617,132.95211,2751
2015-07-20,132.91093,132.91093,131.04765,131.04765,1490
2015-07-21,131.09912,131.8609,129.99762,130.35792,508
2015-07-22,128.1961,129.99762,127.0946,129.75055,3365
2015-07-23,126.83724,129.99762,126.83724,127.50638,577
2015-07-24,127.50638,128.49464,126.55929,126.55929,5317
2015-07-27,126.55929,127.80491,125.21073,125.69456,1160
2015-07-28,125.69456,128.70052,125.69456,128.70052,404
2015-07-29,128.64905,131.5006,128.49464,128.64905,548
2015-07-30,128.24757,130.99617,128.24757,130.99617,1825
2015-07-31,130.51234,133.48742,130.51234,133.00358,1383
2015-08-03,133.00358,135.24776,130.99617,135.00069,9263
2015-08-04,135.00069,136.90516,135.00069,135.69042,3115
2015-08-05,135.69042,137.44047,135.50512,136.19484,19798
2015-08-06,136.80221,136.80221,134.65069,135.19629,2848
2015-08-07,134.00214,134.00214,131.99473,133.00358,1516
2015-08-10,131.99473,131.99473,130.35792,131.99473,261
2015-08-11,130.79029,131.80943,130.79029,130.89323,420
2015-08-12,130.89323,130.89323,130.40939,130.56381,3993
2015-08-13,130.35792,130.51234,130.20351,130.20351,20735
2015-08-14,130.20351,131.24324,129.25642,129.25642,4170
2015-08-17,128.99906,131.04765,128.09316,128.54611,2579
2015-08-18,128.70052,128.70052,126.25046,126.30193,3915
2015-08-19,131.24324,131.24324,126.00339,126.00339,606
2015-08-20,126.00339,128.49464,125.49897,125.49897,1603
2015-08-21,125.40632,125.40632,125.10778,125.21073,3272
2015-08-24,125.30337,125.35485,115.1531,117.00609,3702
2015-08-25,115.49282,119.99147,113.75306,118.95173,2123
2015-08-26,119.05468,119.99147,116.50167,117.99435,602
2015-08-27,118.56055,119.89882,114.19572,114.19572,1656
2015-08-28,117.59287,119.99147,115.20457,117.00609,17635
2015-08-31,130.04909,137.49194,126.15781,128.49464,96860
2015-09-01,129.99762,129.99762,125.49897,126.00339,11033
2015-09-02,126.94018,126.99166,125.69456,126.00339,13062
2015-09-03,126.00339,127.50638,126.00339,126.20928,6804
2015-09-04,126.99166,126.99166,126.00339,126.99166,4325
2015-09-07,125.49897,126.99166,124.49012,124.49012,6967
2015-09-08,125.00484,125.00484,121.99887,122.99743,6166
2015-09-09,121.99887,123.50186,121.65916,122.99743,8135
2015-09-10,121.99887,124.1504,121.99887,123.50186,1450
2015-09-11,122.04005,123.2445,122.04005,122.69889,3842
2015-09-14,125.00484,125.00484,123.10037,123.19302,280
2015-09-15,125.00484,125.00484,123.75922,125.00484,3057
2015-09-16,125.00484,125.00484,123.45038,124.49012,133
2015-09-17,125.30337,126.00339,122.99743,122.99743,74
2015-09-18,124.20187,128.99906,124.20187,126.00339,3197
2015-09-21,125.00484,126.00339,125.00484,126.00339,647
2015-09-22,126.00339,126.00339,123.99599,125.00484,9171
2015-09-23,124.04746,126.00339,124.04746,126.00339,8611
2015-09-24,125.00484,126.00339,124.09893,124.09893,108
2015-09-25,122.04005,125.95192,121.29885,121.29885,992
2015-09-28,119.99147,123.39891,119.99147,120.04294,479
2015-09-29,122.90478,126.00339,120.94885,123.99599,891
2015-09-30,126.00339,126.88871,124.1504,124.1504,962
2015-10-01,126.99166,126.99166,126.00339,126.99166,9611
2015-10-02,126.94018,127.40343,126.94018,127.40343,338
2015-10-05,128.89612,129.99762,128.49464,129.99762,19267
2015-10-06,129.99762,131.80943,128.09316,131.80943,28111
2015-10-07,131.80943,132.39621,129.99762,130.99617,17113
2015-10-08,129.99762,129.99762,124.28423,124.28423,7205
2015-10-09,125.10778,126.00339,122.99743,122.99743,19322
2015-10-12,123.91363,124.85042,122.143,122.143,2236
2015-10-13,122.64742,122.64742,119.0032,119.50763,5118
2015-10-14,119.0032,120.94885,119.0032,120.49589,21027
2015-10-15,120.49589,121.50474,119.99147,121.29885,3786
2015-10-16,121.50474,125.00484,121.45327,124.69601,15669
2015-10-19,125.00484,125.00484,122.99743,122.99743,129
2015-10-20,123.45038,123.45038,121.15473,121.15473,73
2015-10-21,122.09152,122.94596,119.99147,120.35177,2883
2015-10-22,120.3003,121.9474,120.3003,120.49589,6197
2015-10-23,120.49589,121.00032,120.19735,120.19735,7684
2015-10-26,120.3003,120.94885,119.99147,120.04294,8656
2015-10-27,120.04294,121.00032,119.99147,120.09441,11474
2015-10-28,121.50474,121.50474,120.19735,120.65031,124
2015-10-29,120.89737,120.89737,117.99435,118.14877,5015
2015-10-30,118.14877,118.69437,117.99435,118.4576,2944
2015-11-02,118.56055,118.6429,116.15166,117.16051,4913
2015-11-03,120.09441,122.99743,118.50907,121.99887,1628
2015-11-04,122.94596,124.59306,122.94596,124.49012,1692
2015-11-05,123.99599,123.99599,122.99743,123.50186,2109
2015-11-06,122.80184,123.99599,122.80184,123.99599,1166
2015-11-09,123.99599,123.99599,122.85331,123.99599,1601
2015-11-10,124.49012,124.49012,123.10037,123.99599,364
2015-11-12,125.00484,126.00339,124.90189,126.00339,790
2015-11-13,126.00339,128.00051,126.00339,127.50638,799
2015-11-16,126.88871,128.00051,126.50782,128.00051,710
2015-11-17,119.84735,122.143,115.00898,119.0032,8625
2015-11-18,119.50763,119.50763,118.90026,119.0032,323
2015-11-19,119.10615,121.00032,117.00609,117.00609,5257
2015-11-20,117.39728,117.39728,115.99724,116.50167,816
2015-11-23,115.99724,116.39872,114.50455,115.99724,2643
2015-11-24,115.99724,116.8002,115.29722,116.8002,486
2015-11-25,116.10019,117.00609,116.10019,117.00609,627
2015-11-26,119.0032,119.0032,115.99724,117.79876,536
2015-11-27,119.0032,119.0032,115.05016,115.99724,7748
2015-11-30,115.80165,115.80165,114.01042,114.01042,6458
2015-12-01,113.90748,117.79876,113.09422,113.09422,364
2015-12-02,113.09422,113.19717,111.99272,111.99272,439
2015-12-03,111.09711,112.50744,108.69852,108.99705,1213
2015-12-04,107.55584,108.69852,106.49552,106.49552,1476
2015-12-07,106.49552,110.0059,106.49552,110.0059,556
2015-12-08,110.21179,111.49859,110.21179,110.94269,236
2015-12-09,111.99272,116.59432,111.99272,115.80165,19814
2015-12-10,112.09567,115.80165,111.99272,115.49282,16763
2015-12-11,115.90459,115.90459,113.04275,113.04275,9231
2015-12-14,113.04275,114.50455,107.9985,110.0059,18970
2015-12-15,110.0059,110.0059,108.20438,109.50148,2957
2015-12-16,109.50148,111.88978,108.99705,108.99705,7483
2015-12-17,108.99705,111.99272,107.9985,111.99272,3502
2015-12-18,111.60153,111.99272,110.89122,110.89122,567
2015-12-21,110.89122,114.01042,110.0059,114.01042,1272
