Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,12.49043,12.70069,12.49043,12.70069,697
2015-01-05,12.70996,12.99958,12.70996,12.85013,2291
2015-01-07,12.83982,12.99958,12.6306,12.92125,1993
2015-01-08,12.65946,13.20055,12.65946,12.90063,14383
2015-01-09,12.90063,13.48089,12.90063,13.20983,10670
2015-01-12,13.42936,13.9993,13.42008,13.60044,5777
2015-01-13,13.54994,13.89006,13.54994,13.89006,2015
2015-01-14,13.89006,13.97045,13.56952,13.79008,3059
2015-01-15,13.79008,13.9993,13.39947,13.97972,10021
2015-01-16,13.94983,13.9993,13.74989,13.94983,1319
2015-01-19,13.9993,13.9993,13.54994,13.6798,3422
2015-01-20,13.6798,13.74989,13.49944,13.74989,3525
2015-01-21,13.74989,13.74989,13.39947,13.69011,304
2015-01-22,13.54994,13.54994,13.49944,13.54994,370
2015-01-23,13.49944,13.67053,13.23044,13.67053,5583
2015-01-26,13.70042,13.70042,13.49944,13.49944,88
2015-01-27,13.49944,13.90036,13.49944,13.89006,6626
2015-01-28,13.40977,13.89006,13.40977,13.87975,247
2015-01-29,13.90036,13.90036,13.33041,13.69011,5369
2015-01-30,13.60044,13.97972,13.60044,13.97972,3812
2015-02-02,13.97045,13.9993,13.80039,13.80039,1705
2015-02-03,13.90036,14.14978,13.90036,13.97972,2792
2015-02-04,13.9993,13.9993,13.90036,13.9993,1925
2015-02-05,13.90036,13.99003,13.90036,13.99003,728
2015-02-06,13.90036,13.90036,13.90036,13.90036,208
2015-02-09,13.90036,13.90036,13.62003,13.66022,492
2015-02-10,13.74989,13.83955,13.66022,13.83955,307
2015-02-11,13.80039,13.80039,13.6798,13.6798,1946
2015-02-12,13.64991,13.64991,13.54994,13.54994,179
2015-02-13,13.77978,13.77978,13.77978,13.77978,380
2015-02-16,13.80039,13.80039,13.52005,13.80039,395
2015-02-17,13.79008,13.79008,13.79008,13.79008,38
2015-02-18,13.60044,13.62003,13.60044,13.62003,7242
2015-02-19,13.49944,13.62003,13.44997,13.44997,2191
2015-02-20,13.39947,13.39947,12.11013,13.39947,16404
2015-02-23,13.05008,13.44997,12.6306,12.80994,7068
2015-02-24,12.75016,13.09955,12.75016,12.99958,9264
2015-02-25,13.38916,13.38916,12.82024,13.35103,1415
2015-02-26,12.99958,13.35103,12.99958,13.35103,200
2015-02-27,13.35103,14.14978,13.35103,14.14978,30620
2015-03-02,14.16009,15.28968,14.16009,15.20001,21921
2015-03-03,15.1794,15.1897,14.71973,14.80012,1652
2015-03-04,14.98976,14.98976,14.80012,14.90009,1870
2015-03-05,14.90009,15.25051,14.90009,15.25051,4603
2015-03-06,15.24021,15.24021,14.92998,14.94029,2936
2015-03-09,14.80012,14.90009,14.5507,14.56101,3017
2015-03-10,14.4497,15.12065,14.4497,15.12065,11006
2015-03-11,14.5002,15.95032,14.5002,15.94002,25819
2015-03-12,15.89982,15.94002,15.52982,15.5999,1806
2015-03-13,15.5999,16.25024,15.5999,15.89982,31590
2015-03-16,15.98949,16.6491,15.69988,16.63055,14260
2015-03-17,16.6388,17.49011,16.6388,16.99952,21528
2015-03-18,16.92016,16.99952,16.26055,16.78927,1138
2015-03-19,16.79958,17.0995,16.79958,17.04075,13244
2015-03-20,16.99952,17.22008,16.99952,17.0995,15879
2015-03-23,17.24997,17.24997,16.99952,17.05106,2463
2015-03-24,16.99952,17.05106,16.79958,16.95005,3919
2015-03-25,16.97994,16.99952,16.90058,16.99952,5101
2015-03-26,16.6388,16.6388,16.49966,16.55016,907
2015-03-27,16.49966,16.51924,15.99979,15.99979,4289
2015-03-30,15.95032,16.87997,15.78954,16.87997,6238
2015-03-31,16.87997,16.95005,16.85008,16.90058,2214
2015-04-01,16.95005,16.98922,16.79958,16.90058,3625
2015-04-02,16.79958,16.79958,16.69961,16.78927,7973
2015-04-07,16.78927,16.95005,16.78927,16.79958,2768
2015-04-08,16.85008,16.85008,16.59036,16.6491,1989
2015-04-09,16.29971,16.48935,16.08946,16.48935,5458
2015-04-10,16.02041,16.56974,15.99979,16.56974,4045
2015-04-13,16.0101,16.79958,16.0101,16.74083,2146
2015-04-14,16.74083,16.74083,16.35949,16.35949,691
2015-04-15,16.31002,16.35949,16.0503,16.35949,1208
2015-04-16,16.69961,16.69961,16.40072,16.55016,8682
2015-04-17,16.69961,16.69961,16.60066,16.60066,2035
2015-04-20,16.6491,17.07064,16.6491,17.07064,16193
2015-04-21,17.07064,17.46022,17.07064,17.19947,10826
2015-04-22,17.19947,17.24997,16.99952,16.99952,3979
2015-04-23,16.99952,17.40045,16.99952,17.37983,1332
2015-04-24,17.19947,17.36025,17.02014,17.20978,758
2015-04-27,17.20978,17.37983,17.20978,17.37983,466
2015-04-28,17.37056,17.95081,17.30975,17.95081,8113
2015-04-29,17.96112,18.33009,17.54989,17.80034,5340
2015-04-30,17.90031,18.14973,17.89,17.99925,7274
2015-05-04,17.99925,17.99925,17.90031,17.95081,2062
2015-05-05,17.99925,18.68051,17.99925,18.43934,7994
2015-05-06,18.48984,18.69082,18.1992,18.1992,4831
2015-05-07,18.25073,18.69082,18.25073,18.50015,3004
2015-05-08,18.70009,18.84026,18.40121,18.50015,5385
2015-05-11,18.54962,19.42052,18.54962,19.24016,13667
2015-05-12,19.44938,19.44938,18.99898,19.22985,4943
2015-05-13,19.22985,19.22985,18.52076,18.88973,2950
2015-05-14,19.00929,19.40094,18.99898,19.09999,10603
2015-05-15,19.19996,19.3494,19.19996,19.29993,3430
2015-05-18,19.29993,19.31951,18.80007,19.0299,2261
2015-05-19,18.99898,18.99898,18.81037,18.81037,1999
2015-05-20,18.99898,18.99898,18.80007,18.90004,2204
2015-05-21,18.99898,19.09071,18.90004,19.09071,7414
2015-05-22,19.09071,19.09999,19.04948,19.09999,16806
2015-05-25,19.09999,19.42052,18.90932,18.99898,2764
2015-05-26,18.91962,19.38032,18.51046,18.90932,2012
2015-05-27,18.57951,18.60012,18.50015,18.60012,2786
2015-05-28,18.60012,18.60012,18.50015,18.50015,925
2015-05-29,18.50015,18.70009,17.20978,18.70009,17507
2015-06-01,18.90004,18.99898,18.48984,18.48984,5013
2015-06-02,18.50015,18.80007,18.10026,18.80007,1455
2015-06-03,18.80007,18.80007,18.10026,18.6599,1567
2015-06-05,18.48984,18.48984,18.16003,18.16003,453
2015-06-08,18.04976,18.04976,17.60039,17.60039,1814
2015-06-09,17.33964,17.40045,16.78,16.99952,8027
2015-06-10,17.90031,17.90031,17.50042,17.80034,796
2015-06-11,17.80034,17.80034,17.0995,17.79003,3445
2015-06-12,17.79003,18.80007,17.79003,18.31979,4840
2015-06-15,18.64959,18.64959,18.04048,18.50015,2300
2015-06-16,18.64032,18.64032,17.66017,17.98895,2951
2015-06-17,18.47026,18.47026,17.6107,17.6107,1077
2015-06-18,17.6107,17.99925,17.60039,17.99925,311
2015-06-19,17.80034,17.80034,17.51073,17.80034,627
2015-06-22,17.77973,17.77973,17.47981,17.47981,911
2015-06-23,17.30047,17.80034,17.30047,17.419,2612
2015-06-24,17.30975,17.43961,17.02014,17.43961,4519
2015-06-25,17.50042,17.6107,17.50042,17.6107,2314
2015-06-26,17.62101,17.80034,17.62101,17.80034,206
2015-06-29,16.69961,17.97864,15.10004,17.71995,10210
2015-06-30,17.69933,17.80034,17.69933,17.80034,8202
2015-07-01,16.35023,17.98018,16.35023,17.98018,531
2015-07-02,17.55033,17.98018,17.50054,17.98018,5463
2015-07-03,18.19967,18.29011,17.3095,17.8501,2106
2015-07-06,17.7495,17.7495,17.50054,17.69057,976
2015-07-07,17.60013,17.60013,17.19975,17.50054,2259
2015-07-08,17.05038,17.39079,16.99957,16.99957,2317
2015-07-09,17.28003,17.29934,16.99957,17.19975,881
2015-07-10,17.19975,17.29934,17.10017,17.29934,1095
2015-07-13,17.29934,17.29934,16.99957,17.19975,1970
2015-07-14,17.03005,17.03005,16.99957,16.99957,869
2015-07-15,17.00973,17.39994,17.00973,17.03005,994
2015-07-16,17.05038,17.38063,17.00973,17.38063,1225
2015-07-17,17.39079,17.70073,17.11033,17.39994,18997
2015-07-20,17.39994,17.48022,17.19975,17.47006,2335
2015-07-21,17.60013,17.80031,17.60013,17.79015,8303
2015-07-22,17.79015,17.99034,17.66008,17.8999,4888
2015-07-23,17.8501,18.35006,17.8501,18.35006,1451
2015-07-24,18.35006,18.35006,18.05029,18.05029,915
2015-07-27,18.38969,18.39985,18.29925,18.37039,943
2015-07-28,18.29925,18.36022,18.14988,18.18951,8716
2015-07-29,18.18951,18.18951,17.12049,17.88974,5538
2015-07-30,17.87957,17.87957,17.35015,17.80031,501
2015-07-31,17.8999,17.8999,17.18959,17.18959,12453
2015-08-03,17.18959,17.25056,17.18959,17.18959,1255
2015-08-04,17.00973,17.29934,17.00973,17.11033,2541
2015-08-05,17.18959,17.51985,17.17943,17.51985,2515
2015-08-06,17.49038,17.76983,17.29934,17.35015,5229
2015-08-07,17.35015,17.35015,17.29934,17.29934,497
2015-08-10,17.50054,17.50054,17.29934,17.29934,401
2015-08-11,17.29934,17.50054,17.29934,17.43957,8023
2015-08-12,17.39994,17.39994,17.35015,17.35015,1742
2015-08-13,17.35015,17.35015,17.29934,17.29934,15249
2015-08-14,17.49038,18.0005,17.49038,18.0005,5118
2015-08-17,18.37039,18.49029,18.10008,18.10008,732
2015-08-18,18.0005,18.0005,17.44973,18.0005,1916
2015-08-19,18.44965,18.44965,17.80031,18.10008,722
2015-08-20,18.10008,18.10008,17.25056,17.95985,201
2015-08-21,17.20992,17.93038,17.20992,17.7495,2049
2015-08-24,17.05038,17.55033,14.74976,16.19984,17303
2015-08-25,15.50071,16.60021,15.50071,16.19984,17908
2015-08-26,16.19984,16.6998,16.19984,16.39901,2787
2015-08-27,16.39901,16.50063,16.39901,16.39901,1333
2015-08-28,16.50063,17.50054,16.39901,17.50054,4322
2015-08-31,16.91014,16.99957,16.60021,16.99957,4883
2015-09-01,16.21,16.57989,16.10025,16.31975,2477
2015-09-02,16.50063,16.50063,16.05046,16.28926,6685
2015-09-03,16.28926,16.28926,15.50071,15.90007,9858
2015-09-04,15.99965,15.99965,15.90007,15.96002,1422
2015-09-07,16.10025,16.5494,16.10025,16.5494,4004
2015-09-08,16.5494,16.5494,16.10025,16.39901,12088
2015-09-09,16.41933,16.74959,16.41933,16.74959,4716
2015-09-10,16.79024,17.37047,16.74959,17.25056,2116
2015-09-11,17.16012,17.19975,16.8004,16.8004,1635
2015-09-14,16.8004,16.8004,16.74959,16.74959,1174
2015-09-15,16.74959,17.09001,16.74959,17.09001,14091
2015-09-17,17.28003,17.29934,16.89998,16.89998,1206
2015-09-18,16.89998,16.89998,16.89998,16.89998,1388
2015-09-21,16.99957,16.99957,16.89998,16.89998,193
2015-09-22,16.75975,16.99957,16.74959,16.74959,10123
2015-09-23,16.84917,17.35015,16.84917,17.17943,2747
2015-09-24,17.19975,17.19975,16.99957,16.99957,3320
2015-09-25,16.99957,17.38063,16.99957,17.29934,6564
2015-09-28,17.28918,17.28918,17.14996,17.28918,2767
2015-09-29,17.28918,17.29934,17.28918,17.28918,4144
