Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-01-02,219.19839,221.00995,218.49389,221.00995,176
2015-01-05,219.99234,219.99234,218.14724,218.24788,2482
2015-01-07,218.20315,221.994,218.20315,221.00995,3297
2015-01-08,221.00995,227.9878,219.93643,227.9878,4639
2015-01-09,225.11391,227.9878,225.11391,227.9878,1145
2015-01-12,227.00374,227.9878,227.00374,227.9878,1408
2015-01-13,227.9878,240.00893,227.00374,238.9466,9285
2015-01-14,240.00893,243.49785,240.00893,241.4962,9166
2015-01-15,241.84285,248.00438,241.84285,245.05221,13343
2015-01-16,245.05221,247.84783,244.9963,244.9963,2855
2015-01-19,244.9963,245.49951,236.49764,237.49288,3123
2015-01-20,238.99133,246.20401,238.99133,244.90684,2591
2015-01-21,244.00106,244.44836,240.00893,244.44836,8582
2015-01-22,244.00106,244.00106,242.99464,243.55377,2724
2015-01-23,244.00106,247.48999,240.50096,241.99941,3051
2015-01-26,241.99941,246.99796,240.09839,240.99298,2324
2015-01-27,246.00272,246.99796,240.99298,240.99298,1949
2015-01-28,240.99298,241.99941,240.99298,241.14954,1337
2015-01-29,240.31086,255.00459,240.31086,255.00459,2593
2015-01-30,255.00459,267.9986,255.00459,264.00647,9224
2015-02-02,265.99694,266.99218,264.00647,264.00647,15314
2015-02-03,263.794,264.00647,255.99983,258.98555,3790
2015-02-04,260.94248,264.00647,260.10379,264.00647,1349
2015-02-05,264.00647,264.00647,262.98886,264.00647,3645
2015-02-06,264.00647,265.99694,263.51444,265.99694,2652
2015-02-09,265.99694,266.50015,264.29721,264.99052,4643
2015-02-10,264.99052,264.99052,263.08951,263.68218,2568
2015-02-11,261.09903,265.94103,261.09903,264.00647,2576
2015-02-12,264.99052,267.9986,264.69978,267.9986,6626
2015-02-13,267.9986,270.00026,267.9986,269.95553,2391
2015-02-16,270.00026,271.94601,268.50181,271.54344,266
2015-02-17,271.54344,275.50203,271.54344,275.50203,4141
2015-02-18,275.99405,277.99571,275.08828,276.48608,8850
2015-02-19,277.99571,279.01332,276.48608,279.01332,2288
2015-02-20,279.01332,281.99903,279.01332,279.99737,5676
2015-02-23,278.59956,280.50058,278.49892,279.99737,2340
2015-02-24,279.99737,281.01497,278.55484,279.99737,2132
2015-02-25,279.49416,280.2993,277.99571,278.09635,2223
2015-02-26,277.99571,281.01497,277.99571,279.89673,14786
2015-02-27,279.99737,279.99737,278.20818,279.89673,2085
2015-03-02,279.89673,281.01497,279.89673,281.01497,1313
2015-03-03,281.48464,281.48464,281.09325,281.39518,3540
2015-03-04,281.39518,282.89363,280.50058,282.89363,6048
2015-03-05,283.05018,285.00711,283.05018,284.49272,3820
2015-03-06,285.00711,285.45441,284.54863,285.00711,1653
2015-03-09,285.00711,286.00235,285.00711,286.00235,2041
2015-03-10,286.00235,286.50556,285.45441,286.00235,2778
2015-03-11,285.51032,286.85221,285.39849,285.51032,1157
2015-03-12,285.00711,285.00711,280.41112,281.9543,1873
2015-03-13,277.01166,279.99737,265.10235,279.99737,3809
2015-03-16,279.99737,281.01497,276.79919,279.01332,4423
2015-03-17,279.852,279.99737,277.99571,279.852,4591
2015-03-18,281.01497,286.00235,281.01497,286.00235,11166
2015-03-19,287.99282,289.50245,287.99282,289.24526,1804
2015-03-20,289.89384,293.49459,289.30117,293.49459,1968
2015-03-23,293.94189,297.79983,293.49459,297.79983,3857
2015-03-24,297.79983,298.00112,295.25023,295.94355,2285
2015-03-25,293.9978,293.9978,292.51053,292.90192,1492
2015-03-26,291.90668,291.90668,275.99405,287.64617,4220
2015-03-27,285.00711,289.89384,285.00711,289.89384,714
2015-03-30,289.50245,289.89384,286.00235,287.99282,1882
2015-03-31,287.99282,289.9833,287.00877,289.44654,7479
2015-04-01,289.94975,289.9833,287.00877,289.9833,3961
2015-04-02,291.0009,291.0009,288.03755,289.9833,1836
2015-04-07,291.0009,291.0009,285.00711,285.00711,1899
2015-04-08,285.00711,285.00711,273.0978,276.41899,4094
2015-04-09,276.36307,279.99737,276.04997,279.99737,3566
2015-04-10,284.90647,284.90647,280.14274,283.00545,1396
2015-04-13,283.00545,283.00545,281.99903,283.00545,1218
2015-04-14,279.99737,281.01497,279.70663,281.01497,7498
2015-04-15,280.95906,280.95906,276.54199,278.9574,1432
2015-04-16,277.99571,282.8489,277.99571,279.99737,1745
2015-04-17,279.99737,282.89363,277.3024,279.99737,1299
2015-04-20,277.99571,279.01332,275.14419,277.43659,3152
2015-04-21,277.43659,279.89673,270.30219,272.50513,8452
2015-04-22,272.50513,275.50203,268.99384,274.00358,3958
2015-04-23,275.01,279.99737,271.09614,279.99737,6332
2015-04-24,279.99737,279.99737,274.19368,277.9398,3438
2015-04-27,277.9398,289.70374,275.99405,281.99903,6711
2015-04-28,285.00711,289.9833,281.99903,287.99282,5170
2015-04-29,288.31711,288.95451,285.39849,287.99282,1827
2015-04-30,287.00877,288.99924,287.00877,288.99924,2016
2015-05-04,288.99924,289.50245,287.04231,287.99282,1967
2015-05-05,287.14296,288.99924,287.14296,287.14296,1899
2015-05-06,287.00877,288.36184,287.00877,287.94809,5658
2015-05-07,287.94809,288.49603,287.94809,287.94809,3152
2015-05-08,286.04708,287.99282,286.04708,287.99282,3200
2015-05-11,287.99282,287.99282,285.61096,287.99282,1592
2015-05-12,280.19866,289.9833,279.60599,287.99282,5063
2015-05-13,289.50245,291.0009,287.99282,291.0009,2542
2015-05-14,291.0009,291.60475,288.4513,291.56002,509
2015-05-15,288.54076,289.9833,287.54553,288.99924,567
2015-05-18,288.99924,288.99924,285.05184,288.99924,486
2015-05-19,286.50556,288.85387,285.05184,286.00235,211
2015-05-20,288.39188,288.39188,284.98906,288.29277,1283
2015-05-21,288.00645,295.99041,288.00645,293.99718,2023
2015-05-22,293.99718,293.99718,292.1471,293.00606,1552
2015-05-25,292.89594,293.99718,286.88319,289.99969,1110
2015-05-26,289.95564,291.00181,287.15849,288.00645,532
2015-05-27,291.00181,291.00181,286.88319,290.83663,539
2015-05-28,288.00645,290.83663,288.00645,290.5503,2389
2015-05-29,290.44018,292.00394,288.60112,292.00394,3092
2015-06-01,292.49949,295.20854,292.40038,294.9993,1614
2015-06-02,294.9993,302.00317,291.2551,301.00104,2968
2015-06-03,302.00317,302.00317,295.99041,295.99041,864
2015-06-05,294.94424,294.94424,285.15424,291.00181,888
2015-06-08,290.49524,297.69733,287.90734,293.00606,6507
2015-06-09,291.00181,293.00606,288.00645,288.00645,854
2015-06-10,287.90734,289.91159,284.98906,284.98906,1082
2015-06-11,284.98906,288.84339,284.98906,286.0022,918
2015-06-12,286.88319,286.88319,273.20583,275.09995,951
2015-06-15,275.09995,284.90096,275.09995,279.00934,1594
2015-06-16,279.00934,281.99369,279.00934,281.99369,3384
2015-06-17,284.00896,284.00896,282.50026,282.50026,2210
2015-06-18,282.50026,282.50026,279.00934,281.25587,1237
2015-06-19,282.39014,282.4452,279.00934,279.00934,575
2015-06-22,279.00934,279.98944,279.00934,279.98944,1023
2015-06-23,280.36386,281.99369,276.10208,281.99369,4342
2015-06-24,281.99369,286.99331,279.09744,286.93825,970
2015-06-25,286.93825,286.93825,281.04663,285.49563,2805
2015-06-26,284.98906,286.0022,280.04451,284.90096,514
2015-06-29,275.99195,281.9056,250.99388,281.9056,7684
2015-06-30,275.09995,281.00258,273.20583,279.98944,2956
2015-07-01,280.65019,280.70525,277.06015,277.99621,509
2015-07-02,279.8573,280.80436,276.48751,277.00509,11658
2015-07-03,280.80436,280.89246,276.20119,276.20119,1878
2015-07-06,275.59551,279.64806,273.51417,279.64806,541
2015-07-07,276.48751,279.46085,270.2435,270.99234,494
2015-07-08,270.99234,272.99659,268.019,270.99234,1303
2015-07-09,270.99234,275.00084,270.00123,275.00084,1200
2015-07-10,275.00084,281.99369,275.00084,281.99369,591
2015-07-13,281.99369,281.99369,277.99621,277.99621,1255
2015-07-14,279.98944,279.98944,277.99621,279.593,683
2015-07-15,279.00934,281.00258,279.00934,279.49389,420
2015-07-16,280.49601,281.99369,280.09957,281.99369,964
2015-07-17,280.55107,288.00645,280.55107,288.00645,1902
2015-07-20,284.00896,289.49312,284.00896,287.9624,562
2015-07-21,287.79721,287.79721,281.10169,286.0022,4048
2015-07-22,281.00258,286.99331,281.00258,285.95815,5287
2015-07-23,283.19404,286.88319,283.19404,286.0022,1590
2015-07-24,286.0022,289.49312,282.99582,289.49312,4328
2015-07-27,289.99969,291.00181,288.00645,290.30803,3123
2015-07-28,290.30803,295.30765,290.30803,294.9993,3225
2015-07-29,295.15347,296.50799,290.44018,295.05436,2181
2015-07-30,294.9993,294.9993,291.20003,294.1954,246
2015-07-31,294.9993,302.00317,294.9993,298.99679,2161
2015-08-03,298.99679,298.99679,294.9993,297.80745,533
2015-08-04,298.95274,299.99892,297.00355,299.99892,1392
2015-08-05,300.89092,303.00529,300.71472,302.00317,1884
2015-08-06,302.00317,302.95023,300.54953,302.00317,1180
2015-08-07,302.00317,303.00529,300.05398,303.00529,571
2015-08-10,303.00529,303.00529,301.19926,303.00529,588
2015-08-11,303.00529,303.00529,299.99892,301.29837,1835
2015-08-12,301.19926,314.88764,301.19926,314.71144,3183
2015-08-13,314.71144,314.79954,308.03794,309.40348,2019
2015-08-14,313.80842,318.99525,311.95835,318.99525,3495
2015-08-17,318.99525,318.99525,313.00452,313.58818,1562
2015-08-18,318.49969,321.01051,318.45564,319.7551,5246
2015-08-19,319.99737,324.51245,319.99737,324.51245,2324
2015-08-20,325.008,331.00974,324.45738,331.00974,4265
2015-08-21,327.19946,331.00974,320.04142,325.008,2337
2015-08-24,316.94695,316.94695,303.00529,313.00452,19277
2015-08-25,306.00066,314.99776,306.00066,314.99776,4379
2015-08-26,314.99776,319.99737,313.99563,319.99737,3963
2015-08-27,328.95043,331.00974,327.01225,327.90425,27152
2015-08-28,331.00974,331.00974,327.90425,328.89537,5570
2015-08-31,329.88648,330.89962,327.98134,329.00549,8307
2015-09-01,325.008,327.01225,325.008,327.01225,1736
2015-09-02,325.008,330.84456,323.98385,329.9966,1869
2015-09-03,330.89962,344.89634,330.89962,336.69212,5215
2015-09-04,336.69212,348.94889,336.69212,347.93575,7177
2015-09-07,349.00395,357.99004,337.99158,348.94889,3280
2015-09-08,350.05013,354.96164,340.29317,347.8036,2788
2015-09-09,348.80573,348.80573,337.08857,343.04626,2105
2015-09-10,343.04626,355.0167,339.00472,355.0167,1783
2015-09-11,355.0167,357.00994,345.14962,352.95739,3400
2015-09-14,353.99255,354.48811,348.04587,354.48811,1752
2015-09-15,357.00994,359.49874,349.99506,354.85152,1889
2015-09-16,354.79646,354.90658,351.99931,354.69734,1642
2015-09-17,351.0082,355.0167,349.88494,351.80109,2533
2015-09-18,353.01245,353.01245,343.15638,349.75279,12841
2015-09-21,349.88494,352.95739,347.59437,349.65368,1653
2015-09-22,349.70874,349.88494,344.20256,349.88494,1495
2015-09-23,349.99506,349.99506,342.49564,344.89634,1889
2015-09-24,344.89634,347.93575,334.99622,337.99158,7690
2015-09-25,345.00646,345.00646,336.15252,342.00009,2169
2015-09-28,339.99583,342.00009,339.99583,341.94502,442
2015-09-29,335.15039,341.59263,335.15039,340.54645,7012
2015-09-30,340.54645,352.85828,338.15677,342.00009,2774
2015-10-01,343.00221,347.01071,342.19831,344.00434,1174
2015-10-02,345.00646,345.00646,341.05302,342.00009,188
2015-10-05,341.05302,348.80573,339.99583,348.39827,760
2015-10-06,348.39827,349.49951,348.35422,348.94889,1998
2015-10-07,349.29027,349.99506,340.78872,345.00646,1052
2015-10-08,345.8434,345.8434,340.51342,341.00897,1003
2015-10-09,343.00221,352.48386,339.99583,352.48386,1054
2015-10-12,351.05225,353.01245,345.10557,349.99506,806
2015-10-13,345.49101,351.0082,345.49101,347.09881,483
2015-10-14,347.09881,347.09881,341.00897,341.00897,798
2015-10-15,341.00897,344.09243,340.54645,341.00897,4268
2015-10-16,341.00897,343.00221,339.99583,343.00221,980
2015-10-19,343.00221,343.00221,337.2978,343.00221,1001
2015-10-20,341.00897,342.00009,337.01148,337.84842,294
2015-10-21,337.99158,339.00472,329.9966,334.99622,2055
2015-10-22,334.99622,334.99622,331.00974,333.30031,1590
2015-10-23,335.99834,335.99834,330.74545,333.99409,2517
2015-10-26,333.99409,343.15638,332.99197,342.00009,3392
2015-10-27,343.15638,352.40677,343.15638,352.40677,8592
2015-10-28,352.40677,352.40677,345.99757,349.00395,1191
2015-10-29,349.00395,349.00395,346.05264,348.10094,1015
2015-10-30,345.99757,349.79684,345.99757,349.79684,590
2015-11-02,349.99506,351.99931,347.49526,349.94,628
2015-11-03,349.99506,349.99506,335.29355,344.49989,1659
2015-11-04,344.49989,349.00395,340.78872,341.19618,1132
2015-11-05,349.49951,350.68884,337.99158,345.20468,1570
2015-11-06,345.99757,348.90484,341.19618,345.99757,5403
2015-11-09,345.00646,345.00646,340.65658,342.9031,2445
2015-11-10,342.79298,376.98638,339.99583,359.00318,2558
2015-11-12,369.49797,369.49797,358.90407,359.00318,2390
2015-11-13,359.00318,360.00531,357.00994,357.99004,6039
2015-11-16,357.99004,360.00531,355.0167,357.00994,937
2015-11-17,358.95913,358.95913,353.99255,358.44155,1376
2015-11-18,359.00318,363.54028,355.50125,362.70334,1341
2015-11-19,364.90581,364.90581,360.20353,361.50299,1129
2015-11-20,360.99642,361.50299,355.9968,357.80283,1130
2015-11-23,357.80283,357.99004,351.99931,353.88243,1511
2015-11-24,357.49449,357.49449,341.05302,348.94889,2268
2015-11-25,348.90484,348.90484,340.20507,347.93575,2129
2015-11-26,349.99506,351.88919,343.81713,349.99506,2929
2015-11-27,351.40465,355.0167,342.24236,344.49989,4137
2015-11-30,345.99757,347.19792,327.01225,333.09108,17530
2015-12-01,333.2012,339.88571,333.2012,334.99622,4648
2015-12-02,334.99622,338.8946,333.2012,334.99622,2572
2015-12-03,332.99197,339.04877,330.50317,335.80012,2753
2015-12-04,334.99622,334.99622,327.98134,334.90812,12796
2015-12-07,334.90812,338.49815,329.9966,334.99622,6138
2015-12-08,335.45874,345.00646,335.45874,345.00646,4483
2015-12-09,339.99583,345.00646,337.70526,345.00646,2320
2015-12-10,337.99158,349.00395,337.99158,349.00395,2193
2015-12-11,347.99081,351.99931,342.69386,342.69386,5874
2015-12-14,340.51342,343.00221,330.05167,331.80263,2285
2015-12-15,330.50317,341.94502,329.00549,330.09572,5542
2015-12-16,333.99409,341.84591,332.45236,334.99622,2707
2015-12-17,339.99583,339.99583,334.99622,337.99158,4976
2015-12-18,339.99583,345.00646,334.50066,343.00221,2412
2015-12-21,344.00434,349.99506,343.00221,345.00646,2313
2015-12-22,345.99757,349.99506,345.49101,349.84089,2865
2015-12-23,346.05264,351.0082,342.5507,349.70874,3607
2015-12-28,349.70874,353.01245,346.55921,353.01245,2741
2015-12-29,349.49951,359.89518,349.49951,357.99004,2896
2015-12-30,357.99004,359.89518,353.10055,359.89518,3404
2016-01-04,359.00318,360.00531,350.50163,359.00318,2474
2016-01-05,357.00994,357.00994,353.10055,357.00994,4282
2016-01-07,350.90909,355.0167,350.90909,353.10055,4292
2016-01-08,353.99255,353.99255,351.05225,352.2526,3518
2016-01-11,345.34784,349.84089,345.34784,347.45121,6118
2016-01-12,348.94889,348.94889,342.00009,344.9514,10894
2016-01-13,345.00646,345.00646,342.00009,342.00009,5003
2016-01-14,342.00009,345.00646,339.00472,340.95391,5117
2016-01-15,340.54645,343.00221,337.99158,339.99583,8835
2016-01-18,339.99583,339.99583,319.99737,324.25916,13817
2016-01-19,329.9966,332.99197,323.00375,325.008,9077
2016-01-20,329.75433,329.75433,319.99737,319.99737,8183
2016-01-21,319.99737,324.95294,318.65387,321.94656,9765
2016-01-22,319.99737,321.99061,319.14942,319.14942,5242
2016-01-25,319.99737,323.98385,319.99737,323.98385,4434
2016-01-26,323.98385,327.19946,319.99737,321.90251,2631
2016-01-27,325.008,325.008,320.50394,323.59842,12001
2016-01-28,322.08972,328.95043,322.08972,323.59842,4795
2016-01-29,329.49004,329.9966,324.25916,325.93304,5162
2016-02-01,325.49255,328.95043,325.49255,328.68613,3493
2016-02-02,327.98134,334.10422,327.98134,332.00086,3578
2016-02-03,332.99197,334.95217,322.50819,322.50819,12822
2016-02-04,322.19985,333.99409,322.19985,332.95893,3847
2016-02-05,332.95893,334.99622,329.65522,331.49429,4203
2016-02-08,331.49429,333.93903,329.00549,329.79838,3005
2016-02-09,329.9966,331.85769,328.20159,329.9966,4184
2016-02-10,329.9966,329.9966,327.98134,327.98134,3194
2016-02-11,325.9881,327.24351,321.49506,322.59629,2287
2016-02-12,322.59629,329.75433,322.59629,328.49892,9432
2016-02-15,331.00974,334.99622,326.6048,328.09146,893
2016-02-16,327.98134,328.09146,326.50568,328.09146,420
2016-02-17,328.09146,328.49892,324.30321,324.30321,2410
2016-02-18,324.68864,337.84842,324.68864,334.798,4471
2016-02-19,333.99409,334.798,333.99409,334.75395,658
2016-02-22,334.99622,336.25163,325.65773,326.19734,1613
2016-02-23,327.06731,333.88397,326.40657,327.06731,1100
2016-02-24,327.06731,332.59552,327.06731,331.00974,513
2016-02-25,327.06731,333.35538,327.06731,332.65059,1497
2016-02-26,331.64846,337.94753,329.9966,336.39479,1827
2016-02-29,336.80225,350.34746,336.50491,347.99081,3306
2016-03-01,345.00646,347.3521,342.08818,342.5507,930
2016-03-02,341.00897,343.10132,339.19193,341.94502,532
2016-03-03,341.10808,341.10808,338.94966,340.45835,2982
2016-03-04,345.8434,345.8434,340.40329,341.94502,138
2016-03-07,344.00434,344.00434,335.65696,335.69,903
2016-03-08,335.29355,343.54182,335.29355,342.35248,2237
2016-03-09,344.00434,348.39827,336.15252,345.00646,1277
2016-03-10,346.84553,346.84553,341.15213,343.65194,1314
2016-03-11,329.9966,339.99583,329.9966,339.88571,1574
2016-03-14,335.99834,338.5422,334.50066,337.99158,4026
2016-03-15,338.94966,338.94966,334.50066,337.89247,788
2016-03-16,337.89247,337.89247,334.50066,335.15039,1991
2016-03-17,336.95642,336.95642,327.98134,327.98134,3404
2016-03-18,327.01225,327.01225,319.05031,319.99737,11198
2016-03-21,318.00414,318.00414,304.09552,308.95197,12655
2016-03-22,309.81093,314.99776,306.00066,307.79567,5123
2016-03-23,309.98713,309.98713,307.00278,307.00278,1837
2016-03-24,308.48945,308.48945,303.51186,303.9964,1776
2016-03-29,303.9964,310.90116,303.9964,309.85498,5652
2016-03-30,310.09726,314.99776,302.49872,302.49872,3541
2016-03-31,304.99853,312.39884,304.99853,312.39884,3077
2016-04-01,317.90503,317.90503,313.20274,313.31287,2049
2016-04-04,315.10788,315.99989,313.40097,313.40097,1360
2016-04-05,314.9427,314.9427,306.20989,311.99138,2050
2016-04-06,314.5022,314.5022,306.00066,306.15483,6744
2016-04-07,312.94946,313.99563,299.99892,303.00529,38271
2016-04-08,303.1925,307.00278,300.09803,306.00066,887
2016-04-11,307.00278,307.00278,305.09764,305.65927,376
2016-04-12,305.70332,307.00278,305.65927,306.00066,5039
2016-04-13,306.00066,309.98713,304.99853,309.85498,1393
2016-04-14,313.80842,313.80842,308.09301,308.99602,3739
2016-04-15,308.99602,308.99602,307.00278,308.59957,2684
2016-04-18,307.00278,313.00452,307.00278,307.10189,4316
2016-04-19,306.09977,313.00452,305.60421,313.00452,2647
2016-04-20,313.53312,313.80842,310.25143,313.80842,4647
2016-04-21,313.80842,317.00201,310.09726,315.26206,1867
2016-04-22,315.95584,323.70854,312.10151,323.00375,3137
2016-04-25,325.008,325.008,320.04142,320.26167,5310
2016-04-26,320.26167,324.95294,320.09649,324.03891,1704
2016-04-27,323.98385,327.98134,323.98385,326.84707,3516
2016-04-28,326.84707,326.84707,323.98385,325.008,14760
2016-04-29,321.09861,327.99235,321.09861,327.99235,1831
2016-05-02,328.89537,330.95468,322.08972,330.95468,951
2016-05-04,331.00974,334.99622,330.95468,331.54935,6210
2016-05-05,320.64897,329.74901,320.64897,325.05257,952
2016-05-06,327.50383,331.98335,324.99834,326.00704,7272
2016-05-09,325.05257,327.0049,321.20214,322.00476,9110
2016-05-10,323.19785,323.94625,317.6554,322.75316,459
2016-05-11,319.9982,324.00048,319.9982,323.00262,1112
