Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,21.94,20.58,21.96,20.46,20.25,0
2020-03-06,21.94,20.58,21.96,20.46,20.26,-7.63
2020-03-05,23.5,22.28,23.52,22.02,18.75,-3.21
2020-03-04,23.38,23.02,23.46,22.9,13.62,-2.04
2020-03-03,22.96,23.5,23.8,22.52,13.06,4.82
2020-03-02,22.06,22.42,23.08,21.8,23.7,6.76
2020-02-28,23,21,23.7,20.7,42.92,-13.22
2020-02-27,24.9,24.2,25.06,24.06,19.01,-2.73
2020-02-26,24.8,24.88,25.2,24.76,18.79,0.32
2020-02-25,25.7,24.8,25.8,24.74,16.09,-3.65
2020-02-24,25.42,25.74,25.86,24.5,18,-3.31
2020-02-21,26.62,26.62,26.98,26.4,8.43,0
2020-02-20,27,26.62,27.16,26.56,4.51,-1.63
2020-02-19,27.5,27.06,27.5,26.56,9.99,-1.02
2020-02-18,27.6,27.34,27.72,27.32,5.87,-1.23
2020-02-17,27.84,27.68,28,27.68,3.55,0.14
2020-02-14,27.72,27.64,27.94,27.64,5.13,0.14
2020-02-13,28.3,27.6,28.3,27.2,9.54,-2.4
2020-02-12,27.5,28.28,28.38,27.32,11.8,3.14
2020-02-11,27.5,27.42,27.6,27.1,6.96,0.66
2020-02-10,28,27.24,28,27.02,7.16,-2.71
2020-02-07,27.8,28,28.1,27.32,6.65,0.65
2020-02-06,28.28,27.82,28.84,27.54,18.23,0
2020-02-05,25.6,27.82,27.88,25.6,18.01,7.58
2020-02-04,26.6,25.86,26.8,25.74,7.99,-2.78
2020-02-03,26.82,26.6,26.82,26.02,4.92,0.08
2020-01-31,26.02,26.58,26.7,26,8.13,2.23
2020-01-30,25.78,26,26.2,25.34,9.22,0
2020-01-29,27,26,27.24,25.8,18.79,-3.7
2020-01-28,27.3,27,27.42,26.84,10.38,-0.74
2020-01-27,27.62,27.2,27.62,27.1,7.98,-2.16
2020-01-24,27.88,27.8,28.06,27.66,6.33,0.65
2020-01-23,27.4,27.62,27.9,27.32,7.23,0.8
2020-01-22,27.86,27.4,27.86,27.14,6.55,-0.51
2020-01-21,27.34,27.54,27.74,27.04,7.75,0.73
2020-01-20,27.88,27.34,28,27.34,12.31,-1.94
2020-01-17,28.02,27.88,28.1,27.74,8.85,-0.5
2020-01-16,28.44,28.02,28.44,28.02,9.05,-0.64
2020-01-15,28.26,28.2,28.4,28.12,8.02,-0.21
2020-01-14,28.28,28.26,28.46,28.14,9.14,-0.07
2020-01-13,27.94,28.28,28.46,27.6,14.48,1.43
2020-01-10,28.46,27.88,28.46,27.82,10.25,-1.34
2020-01-09,28.4,28.26,28.64,28.1,7.94,1.07
2020-01-08,28.4,27.96,28.48,27.8,9.77,-1.96
2020-01-07,29.4,28.52,29.5,28.5,8.56,-1.99
2020-01-03,29.9,29.1,30,29.1,7.57,-2.68
2020-01-02,28.84,29.9,30.12,28.68,9.31,4.25
2019-12-31,28.68,28.68,28.68,28.68,0,0
2019-12-30,28.64,28.68,29.08,28.48,5.55,0.21
2019-12-27,28.1,28.62,28.68,28.08,4.25,2.14
2019-12-24,28.02,28.02,28.02,28.02,0,0
2019-12-23,28.38,28.02,28.54,27.8,7.6,-0.99
2019-12-20,28.74,28.3,28.9,28.3,15.19,-1.53
2019-12-19,28.98,28.74,28.98,28.22,7.27,-0.83
2019-12-18,28.72,28.98,28.98,27.92,11.28,0.98
2019-12-17,28.44,28.7,29,28.22,6.79,0.77
2019-12-16,28.6,28.48,28.86,28.44,3.86,-0.84
2019-12-13,28.9,28.72,29.16,28.42,10.52,-0.49
2019-12-12,27.74,28.86,28.86,27.5,11.9,3.81
2019-12-11,28.2,27.8,28.38,27.26,12.79,-1.42
2019-12-10,28.18,28.2,28.44,27.9,13.93,0.57
2019-12-09,28.18,28.04,28.36,27.84,13.95,-0.36
