Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,54.4,53.5,54.4,53.2,1.48,0
2020-03-06,54.4,53.5,54.4,53.2,1.48,-2.37
2020-03-05,54.7,54.8,55.2,53.6,0.79,0.92
2020-03-04,53.7,54.3,55.2,53.7,1.07,1.12
2020-03-03,54.5,53.7,55.5,53.5,2.79,0.19
2020-03-02,53.5,53.6,54.8,53.3,2.48,1.13
2020-02-28,52.5,53,53.8,51.6,4.26,-0.93
2020-02-27,56.4,53.5,56.4,53.4,4.1,-4.29
2020-02-26,56.7,55.9,56.7,54.7,1.62,-0.89
2020-02-25,56.6,56.4,56.6,55.7,2.17,-0.53
2020-02-24,57.5,56.7,57.5,56.2,2.28,-1.39
2020-02-21,59.2,57.5,59.2,57.5,5.21,-1.88
2020-02-20,58,58.6,59.1,57.9,3.2,1.03
2020-02-19,58.8,58,58.8,57.9,2.44,-0.85
2020-02-18,59,58.5,59.3,57.7,3.39,-0.34
2020-02-17,58,58.7,58.8,57.7,1.35,1.56
2020-02-14,57.3,57.8,58.3,57.3,2.85,1.05
2020-02-13,57.2,57.2,57.2,56.9,1.38,0.53
2020-02-12,57.2,56.9,57.6,56.5,2.97,-0.35
2020-02-11,57.7,57.1,57.7,56.8,0.32,-0.7
2020-02-10,57.4,57.5,57.6,57.1,2.56,0.17
2020-02-07,55.9,57.4,57.5,55.9,1.54,2.5
2020-02-06,56.8,56,57.1,55.8,1.15,-0.88
2020-02-05,56.6,56.5,56.9,56.2,1.68,0.53
2020-02-04,56,56.2,56.6,56,1.42,0.36
2020-02-03,56.6,56,56.6,54.5,1.47,-0.71
2020-01-31,56.7,56.4,56.7,56.3,1.48,0
2020-01-30,56.5,56.4,56.5,55.7,1.73,0
2020-01-29,56.3,56.4,56.6,56.1,1.16,0.71
2020-01-28,55.9,56,56.2,55.7,0.8,-0.18
2020-01-27,56.2,56.1,56.2,55.5,2.55,-0.18
2020-01-24,56,56.2,56.4,55.5,2.57,1.08
2020-01-23,54.3,55.6,56.3,54.2,3.42,2.58
2020-01-22,54.2,54.2,54.5,54.1,1.72,0.37
2020-01-21,54.2,54,54.2,53.8,0.97,-0.37
2020-01-20,53.3,54.2,54.2,53.1,2.4,1.69
2020-01-17,53,53.3,53.3,52.9,0.32,0.95
2020-01-16,52.8,52.8,53.2,52.6,0.47,0
2020-01-15,52.9,52.8,53.3,52.5,9.56,-0.19
2020-01-14,52.8,52.9,52.9,52.1,1.39,0.76
2020-01-13,52.9,52.5,53,52.3,0.77,-0.57
2020-01-10,52.6,52.8,52.9,52,0.3,0.96
2020-01-09,52.4,52.3,52.7,51.9,0.32,0
2020-01-08,52.8,52.3,52.9,52,0.87,-1.32
2020-01-07,52.8,53,53,52,1.92,0.38
2020-01-03,52.9,52.8,53,52.4,0.41,-0.19
2020-01-02,52.4,52.9,53,51.9,0.51,2.12
2019-12-31,51.8,51.8,51.8,51.8,0,0
2019-12-30,52.6,51.8,52.6,51.2,1.31,-1.15
2019-12-27,52.2,52.4,52.8,52.1,0.78,0.58
2019-12-24,52.1,52.1,52.1,52.1,0,0
2019-12-23,52.2,52.1,52.5,51.8,1.31,-0.76
2019-12-20,52.2,52.5,52.6,52,2.32,0
2019-12-19,52.7,52.5,52.8,52,3.93,0.57
2019-12-18,52.4,52.2,53,51.7,1.81,-0.38
2019-12-17,52.5,52.4,52.9,52,4.72,-0.19
2019-12-16,52.5,52.5,52.5,51.9,0.88,0.38
2019-12-13,52.2,52.3,52.5,51.9,1.45,0.38
2019-12-12,52,52.1,52.5,52,1.45,-0.38
2019-12-11,52.2,52.3,52.4,51.4,5.45,0.19
2019-12-10,52.2,52.2,52.2,51.5,4.61,-0.19
2019-12-09,51.8,52.3,52.3,51.4,6.21,0.77
2019-12-06,51.7,51.9,52,51.3,4.54,-0.19
2019-12-05,52,52,52.4,51.7,4.04,0.58
2019-12-04,51.8,51.7,52.2,51.5,10.34,-0.39
2019-12-03,52,51.9,52,51.2,0.92,-0.19
2019-12-02,52,52,52.1,51.6,1.68,0
2019-11-29,51.6,52,52.1,51.6,0.95,0.39
2019-11-28,52,51.8,52.4,51.6,0.5,-0.38
2019-11-27,51.8,52,52.5,51.6,4.62,0.39
2019-11-26,51.6,51.8,51.8,51.4,1.83,0.39
2019-11-25,51.1,51.6,51.6,50.6,1.88,0.78
2019-11-22,51,51.2,51.3,50.9,0.4,0.39
2019-11-21,51,51,51,49.85,1.23,0.39
2019-11-20,51.2,50.8,51.2,50.1,0.31,-0.97
2019-11-19,50.4,51.3,51.3,50.1,2.55,1.79
2019-11-18,49.95,50.4,50.4,49.85,2.99,1.1
