Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,64,68,69.8,62.8,0.36,0
2020-03-06,64,68,69.8,62.8,0.36,1.49
2020-03-05,65.6,67,69.6,64,0.11,-0.89
2020-03-04,67.2,67.6,68.2,65.4,0.06,1.81
2020-03-03,67,66.4,73.6,65.2,0.57,6.75
2020-03-02,62.8,62.2,69,61.8,0.41,-0.96
2020-02-28,69,62.8,69,62.2,0.33,-8.99
2020-02-27,66.4,69,69,65.6,0.46,0
2020-02-26,71.2,69,74,64.4,0.18,0.58
2020-02-25,71,68.6,72,61.4,0.24,0.29
2020-02-24,69,68.4,70.8,68.4,0.07,-2.56
2020-02-21,69,70.2,72,68.6,0.01,-3.84
2020-02-20,74,73,74,71,0.15,2.82
2020-02-19,74,71,74,69.2,0.03,0.57
2020-02-18,70.6,70.6,72.2,68.6,0.09,-3.02
2020-02-17,74.6,72.8,74.6,71.2,0.01,0.28
2020-02-14,69.2,72.6,72.6,69.2,0,0
2020-02-13,74.6,72.6,74.6,71.4,0.04,0.28
2020-02-12,71,72.4,73,69.6,0.17,1.12
2020-02-11,72.4,71.6,74,71.4,0.03,-0.83
2020-02-10,70.4,72.2,73.2,70.4,0.02,-0.82
2020-02-07,71.8,72.8,74.6,70.6,0.09,-2.67
2020-02-06,77,74.8,77,73.4,0.1,-0.27
2020-02-05,72,75,76.8,68.4,0.28,2.74
2020-02-04,68.2,73,74,66.4,0.11,3.4
2020-02-03,68.4,70.6,70.6,68.4,0.04,3.22
2020-01-31,68.6,68.4,69.6,66.2,0.08,-0.58
2020-01-30,66.4,68.8,69.6,66.4,0.72,-1.15
2020-01-29,70.8,69.6,73,66.2,0.1,2.05
2020-01-28,65.6,68.2,71.4,65.6,0.05,0
2020-01-27,69,68.2,69,65.6,0.09,-2.01
2020-01-24,72,69.6,72,68.2,0.04,-2.52
2020-01-23,74,71.4,74,71.4,0.13,-2.46
2020-01-22,72.4,73.2,73.2,71.4,0.04,3.1
2020-01-21,75.2,71,76.8,71,0.1,-5.59
2020-01-20,75,75.2,75.2,75,0,-2.34
2020-01-17,74.2,77,77,74.2,0.07,3.77
2020-01-16,71.8,74.2,75.4,71.8,0.13,5.4
2020-01-15,74.6,70.4,77.2,70.4,0.12,-8.57
2020-01-14,76.4,77,77,76.2,0.04,0
2020-01-13,75.6,77,79.8,72.8,0.11,1.85
2020-01-10,72.2,75.6,76.4,71.2,0.16,0.27
2020-01-09,72,75.4,76.6,71.4,0.1,-1.57
2020-01-08,81.4,76.6,81.4,74.4,0.24,-2.54
2020-01-07,74.8,78.6,82,72.8,0.25,7.97
2020-01-03,69.8,72.8,72.8,69,0.06,1.39
2020-01-02,66.4,71.8,71.8,66.4,0.1,5.59
2019-12-31,68,68,68,68,0,0
2019-12-30,70.2,68,70.2,65.6,0.04,-3.13
2019-12-27,68.2,70.2,70.2,68,0.07,3.24
2019-12-24,68,68,68,68,0,0
2019-12-23,62.6,68,68.8,62.6,0.08,6.25
2019-12-20,65.6,64,69.6,62.6,0.24,-1.54
2019-12-19,68.2,65,69.2,64,0.07,-3.85
2019-12-18,63.2,67.6,68,63.2,0.02,-1.74
2019-12-17,67,68.8,70,66.8,3.53,-0.86
2019-12-16,67.6,69.4,69.4,67,0.01,4.2
2019-12-13,73,66.6,73,66.6,0.03,-4.86
2019-12-12,62,70,70,62,0.07,3.24
2019-12-11,68.8,67.8,68.8,65.8,0.07,1.5
2019-12-10,68.8,66.8,68.8,64.8,0.06,2.77
2019-12-09,68.4,65,68.4,65,0.01,-0.31
2019-12-06,66.8,65.2,66.8,63.6,0.02,-0.61
2019-12-05,63.8,65.6,68.8,63,0.06,-3.81
2019-12-04,63.6,68.2,68.8,60.6,0.14,10
2019-12-03,60.2,62,62,58,0,0.65
2019-12-02,64.8,61.6,65,60.4,0.04,-2.22
2019-11-29,64.6,63,65.8,63,0.12,-2.48
2019-11-28,64.6,64.6,64.6,64.6,0,1.25
2019-11-27,65.2,63.8,66,62.2,0.01,-2.15
2019-11-26,64.8,65.2,66,63.8,0.04,1.88
2019-11-25,65.8,64,65.8,61.6,0.12,1.59
2019-11-22,63.6,63,68.6,62.2,0.11,1.29
2019-11-21,62,62.2,65.4,58.8,0.21,-3.42
2019-11-20,66,64.4,66.2,61.2,0.16,-2.42
2019-11-19,68.8,66,68.8,62.2,0.14,-4.07
2019-11-18,63,68.8,69,62.2,0.15,9.21
2019-11-15,62,63,63,60.6,0.09,0
2019-11-14,61,63,63,61,0.13,1.29
2019-11-13,62.4,62.2,62.6,61.4,0.12,0
2019-11-12,62.8,62.2,62.8,62.2,0,1.97
2019-11-08,63.2,61,63.2,61,0.01,-2.24
2019-11-07,62.8,62.4,64.4,62.4,0.01,0.32
2019-11-06,65,62.2,65,61.2,0.04,-2.2
2019-11-05,64,63.6,64,62.2,0.03,2.58
2019-11-04,60.2,62,62.2,60,0.2,3.33
2019-10-31,60,60,60,58.8,0.03,0.33
2019-10-30,59,59.8,59.8,59,0.01,1.36
2019-10-29,60,59,60,59,0,0.34
2019-10-28,58.8,58.8,58.8,58.8,0,2.44
2019-10-25,58,57.4,59.8,56.2,0.03,-1.03
2019-10-24,60,58,60,56.2,0.05,-1.02
2019-10-23,59,58.6,59,58.4,0.05,-0.34
2019-10-22,58.6,58.8,58.8,58,2.34,1.38
2019-10-21,58.2,58,59.6,57.4,1.86,0.69
2019-10-18,60,57.6,60,55,0.02,-2.37
2019-10-17,60,59,60,56,0.05,-1.34
2019-10-16,57.2,59.8,59.8,57.2,0.02,4.55
2019-10-15,60,57.2,60,56.8,0.03,-4.35
2019-10-14,61.8,59.8,61.8,56.4,0.15,-1.97
2019-10-11,59.8,61,61.4,57.8,0.14,2.01
2019-10-10,62.6,59.8,62.6,56.4,0.25,-1.97
2019-10-09,64.6,61,64.6,61,0.06,-5.86
2019-10-08,67,64.8,67,62,0.01,-1.22
2019-10-07,67,65.6,67,64.6,0.04,0.31
2019-10-04,64.6,65.4,65.4,62.6,0.01,2.83
2019-10-03,67,63.6,69.8,61.4,0.14,-5.92
2019-10-02,67.8,67.6,67.8,67.6,0.01,-1.46
2019-10-01,68,68.6,68.8,67.8,0.06,0.88
2019-09-30,68,68,68,68,0.01,0
2019-09-27,68.4,68,68.4,68,0.01,0
