Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,5.88,5.7,5.88,5.52,0.13,0
2020-03-06,5.88,5.7,5.88,5.52,0.13,-3.39
2020-03-05,5.88,5.9,5.94,5.7,0.1,1.37
2020-03-04,5.86,5.82,5.86,5.72,0.04,-0.68
2020-03-03,5.98,5.86,5.98,5.6,0.26,1.03
2020-03-02,5.86,5.8,5.98,5.7,0.07,0
2020-02-28,5.84,5.8,5.9,5.5,0.25,-1.69
2020-02-27,6.22,5.9,6.24,5.9,0.08,-5.45
2020-02-26,6.06,6.24,6.32,6.04,0.07,-1.58
2020-02-25,6.14,6.34,6.38,6.06,0.1,-0.31
2020-02-24,6.46,6.36,6.76,6.26,0.08,-4.5
2020-02-21,6.7,6.66,6.74,6.44,0.04,-0.6
2020-02-20,6.74,6.7,6.74,6.62,0.01,1.21
2020-02-19,6.96,6.62,6.96,6.48,0.1,-4.06
2020-02-18,7,6.9,7,6.84,0.03,-1.43
2020-02-17,6.9,7,7.06,6.9,0,0
2020-02-14,7.02,7,7.04,6.94,0.03,0
2020-02-13,6.94,7,7,6.88,0.23,1.45
2020-02-12,6.8,6.9,7,6.72,0.23,1.77
2020-02-11,6.78,6.78,6.8,6.58,0.11,-0.29
2020-02-10,6.84,6.8,6.84,6.66,0.12,-0.87
2020-02-07,6.7,6.86,6.86,6.7,0.01,0.88
2020-02-06,6.72,6.8,6.86,6.7,0.01,0.59
2020-02-05,6.68,6.76,6.88,6.66,0.09,1.5
2020-02-04,6.62,6.66,6.68,6.44,0.05,0.91
2020-02-03,6.68,6.6,6.68,6.38,0.11,-1.49
2020-01-31,6.64,6.7,6.7,6.54,0.02,-0.3
2020-01-30,6.66,6.72,6.74,6.62,0.02,-1.18
2020-01-29,6.8,6.8,6.8,6.7,0.01,0
2020-01-28,6.72,6.8,6.8,6.46,0.11,1.49
2020-01-27,6.88,6.7,6.88,6.62,0.04,-2.9
2020-01-24,6.78,6.9,6.94,6.74,0.03,1.77
2020-01-23,6.62,6.78,6.8,6.62,0.05,-0.29
2020-01-22,6.94,6.8,7,6.72,0.09,-2.02
2020-01-21,7.06,6.94,7.06,6.9,0.05,0.29
2020-01-20,7.14,6.92,7.14,6.92,0.09,-1.14
2020-01-17,7.1,7,7.16,7,0.04,-1.41
2020-01-16,7.12,7.1,7.16,7,0.05,1.43
2020-01-15,7.1,7,7.18,7,0.05,-1.41
2020-01-14,6.8,7.1,7.14,6.62,0.51,4.41
2020-01-13,6.94,6.8,6.94,6.52,0.36,-2.02
2020-01-10,6.92,6.94,6.96,6.84,0.04,0.29
2020-01-09,6.9,6.92,6.96,6.86,0.01,0.29
2020-01-08,6.92,6.9,6.98,6.82,0.06,-0.29
2020-01-07,7.02,6.92,7.02,6.9,0.1,0
2020-01-03,6.98,6.92,7.08,6.92,0.04,-1.14
2020-01-02,7.12,7,7.12,6.96,0.07,-1.69
2019-12-31,7.12,7.12,7.12,7.12,0,0
