Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,2,1.95,2,1.86,0.09,0
2020-03-06,2,1.95,2,1.86,0.09,-3.23
2020-03-05,2.02,2.02,2.13,2,0.06,0.25
2020-03-04,2,2.01,2.08,1.99,0.1,-4.74
2020-03-03,1.95,2.11,2.14,1.95,0.12,8.76
2020-03-02,1.81,1.94,1.96,1.81,0.14,4.86
2020-02-28,1.91,1.85,1.92,1.72,0.43,-7.5
2020-02-27,2.1,2,2.1,1.9,0.23,-3.85
2020-02-26,2.11,2.08,2.15,2.02,0.15,-1.42
2020-02-25,2.16,2.11,2.25,2.05,0.13,-2.76
2020-02-24,2.26,2.17,2.26,2.16,0.07,-4.82
2020-02-21,2.33,2.28,2.35,2.25,0.06,-3.18
2020-02-20,2.37,2.35,2.37,2.32,0.03,0.21
2020-02-19,2.37,2.35,2.37,2.27,0.14,1.95
2020-02-18,2.28,2.31,2.38,2.28,0.05,1.1
2020-02-17,2.3,2.28,2.31,2.25,0.06,-0.44
2020-02-14,2.3,2.29,2.3,2.28,0.02,-0.22
2020-02-13,2.3,2.29,2.3,2.28,0.03,-0.22
2020-02-12,2.35,2.3,2.36,2.27,0.05,-1.5
2020-02-11,2.19,2.33,2.35,2.16,0.22,7.6
2020-02-10,2.17,2.17,2.2,2.15,0.09,0
2020-02-07,2.2,2.17,2.2,2.15,0.04,-0.91
2020-02-06,2.21,2.19,2.21,2.17,0.04,1.39
2020-02-05,2.17,2.16,2.22,2.16,0.09,-0.46
2020-02-04,2.18,2.17,2.2,2.12,0.23,-1.14
2020-02-03,2.3,2.19,2.3,2.13,0.2,-4.15
2020-01-31,2.23,2.29,2.34,2.1,0.34,1.78
2020-01-30,2.33,2.25,2.33,2.22,0.13,-3.43
2020-01-29,2.34,2.33,2.34,2.27,0.07,1.53
2020-01-28,2.3,2.29,2.34,2.29,0.02,-0.22
2020-01-27,2.32,2.3,2.38,2.3,0.05,-2.54
2020-01-24,2.3,2.36,2.37,2.3,0.04,2.39
2020-01-23,2.32,2.31,2.35,2.3,0.04,-1.07
2020-01-22,2.36,2.33,2.38,2.31,0.09,-1.27
2020-01-21,2.38,2.36,2.38,2.35,0.03,0
2020-01-20,2.38,2.36,2.38,2.32,0.07,0.64
2020-01-17,2.35,2.35,2.39,2.33,0.1,-1.05
2020-01-16,2.38,2.37,2.4,2.36,0.05,0.85
2020-01-15,2.53,2.35,2.53,2.35,0.16,-4.86
2020-01-14,2.45,2.47,2.51,2.4,0.11,0.82
2020-01-13,2.36,2.45,2.55,2.33,0.44,4.03
2020-01-10,2.39,2.35,2.39,2.31,0.04,-0.84
2020-01-09,2.37,2.38,2.42,2.31,0.15,2.37
2020-01-08,2.41,2.32,2.41,2.31,0.16,-2.93
2020-01-07,2.39,2.39,2.42,2.36,0.08,-0.83
2020-01-03,2.41,2.41,2.42,2.38,0.08,0
2020-01-02,2.4,2.41,2.44,2.34,0.09,0.42
2019-12-31,2.4,2.4,2.4,2.4,0,0
2019-12-30,2.37,2.4,2.44,2.35,0.08,1.69
2019-12-27,2.38,2.36,2.42,2.35,0.15,-0.63
2019-12-24,2.38,2.38,2.38,2.38,0,0
2019-12-23,2.49,2.38,2.49,2.33,0.39,-4.62
2019-12-20,2.48,2.49,2.56,2.41,0.24,1.63
2019-12-19,2.47,2.45,2.48,2.45,0.2,0
2019-12-18,2.47,2.45,2.49,2.38,0.2,-0.61
2019-12-17,2.51,2.46,2.51,2.44,0.03,0.41
2019-12-16,2.46,2.46,2.5,2.44,0.15,-0.41
2019-12-13,2.52,2.46,2.52,2.46,0.04,-0.8
2019-12-12,2.51,2.48,2.58,2.47,0.11,1.02
2019-12-11,2.47,2.46,2.5,2.46,0.04,0
2019-12-10,2.5,2.46,2.52,2.46,0.07,-1.6
2019-12-09,2.48,2.5,2.55,2.48,0.07,-0.2
2019-12-06,2.53,2.5,2.55,2.5,0.06,0.2
2019-12-05,2.53,2.5,2.53,2.5,0.03,-1.19
2019-12-04,2.5,2.53,2.56,2.5,0.13,-0.39
2019-12-03,2.62,2.54,2.62,2.5,0.14,-1.17
2019-12-02,2.65,2.57,2.69,2.56,0.12,-0.77
2019-11-29,2.6,2.59,2.7,2.59,0.18,-0.38
2019-11-28,2.6,2.6,2.65,2.58,0.09,0.39
2019-11-27,2.62,2.59,2.62,2.58,0.14,-1.15
2019-11-26,2.7,2.62,2.7,2.6,0.29,-2.96
2019-11-25,2.58,2.7,2.75,2.58,0.28,2.08
2019-11-22,2.7,2.65,2.7,2.6,0.25,-2.04
2019-11-21,2.71,2.7,2.81,2.67,0.2,-2.88
2019-11-20,2.86,2.78,2.89,2.7,0.33,-1.77
2019-11-19,2.98,2.83,3,2.8,0.83,-6.45
2019-11-18,2.94,3.02,3.12,2.94,1.07,2.54
2019-11-15,2.89,2.95,2.97,2.88,0.42,1.9
2019-11-14,2.99,2.9,3,2.85,0.31,-2.85
2019-11-13,2.8,2.98,3.08,2.8,1.13,7.19
2019-11-12,2.85,2.78,2.85,2.77,0.08,0.18
2019-11-08,2.83,2.77,2.83,2.77,0.08,-1.94
2019-11-07,2.78,2.83,2.84,2.75,0.1,1.8
2019-11-06,2.8,2.78,2.92,2.75,0.32,0
2019-11-05,2.63,2.78,2.81,2.63,0.47,6.11
2019-11-04,2.6,2.62,2.73,2.52,0.27,1.55
2019-10-31,2.59,2.58,2.59,2.53,0.02,2.38
2019-10-30,2.58,2.52,2.65,2.5,0.11,0.8
2019-10-29,2.39,2.5,2.6,2.31,0.81,-6.02
2019-10-28,2.68,2.66,2.81,2.63,0.25,1.14
2019-10-25,2.8,2.63,2.8,2.62,0.23,-3.66
2019-10-24,2.79,2.73,2.79,2.7,0.15,-0.73
2019-10-23,2.82,2.75,2.83,2.7,0.39,-1.79
2019-10-22,2.64,2.8,3.02,2.6,1.22,10.67
2019-10-21,2.59,2.53,2.59,2.52,0.05,-1.36
2019-10-18,2.6,2.56,2.6,2.49,0.17,-2.1
2019-10-17,2.79,2.62,2.79,2.54,0.32,-5.07
2019-10-16,2.7,2.76,2.83,2.65,0.2,2.22
2019-10-15,2.75,2.7,2.77,2.69,0.16,-0.74
2019-10-14,2.76,2.72,2.79,2.68,0.18,-0.37
2019-10-11,2.87,2.73,2.94,2.72,0.53,-4.55
2019-10-10,2.94,2.86,2.95,2.76,0.47,-1.55
2019-10-09,2.9,2.9,3,2.82,0.77,-3.17
2019-10-08,2.6,3,3.08,2.6,1.04,13.21
2019-10-07,2.75,2.65,2.76,2.6,0.26,0.38
2019-10-04,2.8,2.64,3.07,2.63,1.97,1.15
2019-10-03,2.16,2.61,2.61,2.15,1.38,20.83
2019-10-02,2.29,2.16,2.35,2.16,0.26,-4
2019-10-01,2.2,2.25,2.29,2.08,0.31,1.81
2019-09-30,2.33,2.21,2.33,2.19,0.27,-5.35
2019-09-27,2.52,2.33,2.58,2.29,0.44,-7.16
2019-09-26,2.4,2.52,2.69,2.36,0.78,2.44
2019-09-25,2.7,2.46,2.81,2.44,0.81,-8.74
2019-09-24,3.17,2.69,3.19,2.6,1.61,-9.73
2019-09-23,3.3,2.98,3.35,2.91,1.39,-9.42
2019-09-20,3.17,3.29,3.46,3.15,1.81,2.81
2019-09-19,3.5,3.2,3.93,3.16,6.35,-2.29
2019-09-18,2.88,3.27,3.27,2.76,4.28,20.85
2019-09-17,2.7,2.71,2.71,2.5,2.69,20.98
2019-09-16,2.1,2.24,2.27,2.1,0.18,5.16
2019-09-13,2.15,2.13,2.2,2.09,0.16,0.95
2019-09-12,2.12,2.11,2.33,2.06,0.51,2.43
2019-09-11,2.18,2.06,2.18,2.06,0.28,-4.19
2019-09-10,2.24,2.15,2.44,2.13,0.76,-5.7
2019-09-09,1.89,2.28,2.28,1.77,0.43,20.63
2019-09-06,1.91,1.89,1.91,1.85,0.02,-0.53
2019-09-05,1.94,1.9,1.94,1.8,0.13,-2.06
2019-09-04,1.89,1.94,1.94,1.89,0.03,0.52
2019-09-02,1.94,1.93,1.94,1.86,0.05,1.58
2019-08-30,1.94,1.9,1.95,1.89,0.04,-0.52
2019-08-29,1.92,1.91,1.95,1.88,0.07,-0.52
2019-08-28,2.04,1.92,2.04,1.85,0.06,-4
2019-08-27,2,2,2,1.97,0.03,1.01
2019-08-26,1.98,1.98,2.05,1.98,0.03,-1.49
2019-08-23,2.04,2.01,2.04,1.96,0.06,-1.23
