Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,184.8,181,184.8,178.2,1.78,0
2020-03-06,184.8,181,184.8,178.2,1.78,-1.2
2020-03-05,184.6,183.2,185,181,3.98,-0.65
2020-03-04,188,184.4,191.6,183.4,1.24,-1.07
2020-03-03,182.8,186.4,189.8,182.8,2.44,2.87
2020-03-02,182.8,181.2,195,181.2,2.41,-0.88
2020-02-28,184,182.8,184.6,174,2.73,-2.87
2020-02-27,194,188.2,194,188.2,10.17,-0.95
2020-02-26,188.8,190,193.2,186.4,1.31,0
2020-02-25,198.4,190,202.5,188.2,1.48,-4.23
2020-02-24,199,198.4,201.5,197,0.88,-1.29
2020-02-21,200.5,201,202.5,199.6,0.37,-0.25
2020-02-20,199,201.5,203,198.2,1.62,1.66
2020-02-19,196.6,198.2,198.8,194.8,3.25,0.92
2020-02-18,194.2,196.4,196.6,194.2,6.01,0.72
2020-02-17,196,195,198,194.2,2.18,-1.02
2020-02-14,199.2,197,199.2,195.2,0.74,-0.3
2020-02-13,195.2,197.6,202,195.2,0.92,-0.1
2020-02-12,203,197.8,203.5,197.8,1.57,-2.56
2020-02-11,202,203,203.5,199.4,0.53,-0.49
2020-02-10,201,204,204,200,0.28,1.49
2020-02-07,201,201,203,200.5,0.42,-0.5
2020-02-06,206,202,207.5,202,0.44,-0.98
2020-02-05,201,204,205,201,1.46,0.74
2020-02-04,202,202.5,203.5,200,1.18,0.25
2020-02-03,203,202,204.5,201,0.49,-0.49
2020-01-31,202.5,203,203,198.6,0.68,1
2020-01-30,202.5,201,202.5,198,2.47,-1.95
2020-01-29,204.5,205,205,201.5,0.52,0.49
2020-01-28,204.5,204,204.5,200.5,0.46,-0.24
2020-01-27,203,204.5,204.5,199.6,0.86,-0.24
2020-01-24,205,205,207,203.5,1.2,-0.24
2020-01-23,204,205.5,207.5,202.5,0.55,0.74
2020-01-22,206,204,206,202,0.27,-0.97
2020-01-21,208,206,208,204,2.02,0
2020-01-20,205.5,206,208.5,204,1.72,0.24
2020-01-17,205,205.5,207,204,0.34,-0.24
2020-01-16,205.5,206,209,204,1.02,1.23
2020-01-15,204,203.5,205,202,1.73,-0.73
2020-01-14,206,205,206.5,203,4.54,-0.49
2020-01-13,202.5,206,206,202,2.52,0.73
2020-01-10,202.5,204.5,204.5,200,2.94,3.07
2020-01-09,204,198.4,206.5,198.4,5.89,-2.75
2020-01-08,207,204,207,199.6,1.44,-1.45
2020-01-07,207,207,209.5,203,1.3,0
2020-01-03,203,207,207,203,0.45,0.98
2020-01-02,202,205,205,201,1.63,1.23
2019-12-31,202.5,202.5,202.5,202.5,0,0
2019-12-30,202,202.5,204,202,2.08,-0.25
2019-12-27,202,203,203.5,201,4.91,0.74
2019-12-24,201.5,201.5,201.5,201.5,0,0
2019-12-23,201,201.5,203.5,200.5,0.5,0.25
2019-12-20,202,201,204,200,3.57,-0.74
2019-12-19,198.8,202.5,203.5,197.2,2.27,2.27
2019-12-18,195.4,198,199,195.4,1.44,1.33
2019-12-17,192.4,195.4,195.8,192.4,2.62,0.83
2019-12-16,193.2,193.8,194.4,191.2,1.75,0.41
2019-12-13,193,193,193,192,1.53,0
2019-12-12,192.6,193,194.8,191.2,1.38,-0.52
2019-12-11,190,194,194,189,1.29,2.11
2019-12-10,190,190,191,188.4,0.37,-0.52
2019-12-09,187.8,191,191,187.8,0.47,-0.31
2019-12-06,191,191.6,191.6,187.6,0.54,-0.21
2019-12-05,190,192,192.8,190,0.42,0.63
2019-12-04,189,190.8,190.8,185,1.51,0.42
2019-12-03,187.2,190,190.6,187.2,0.16,0.64
2019-12-02,189,188.8,190.8,187.4,0.69,-0.63
2019-11-29,191.8,190,191.8,189.2,1.94,0
2019-11-28,190.2,190,192.6,189.2,1.54,0
2019-11-27,191.2,190,193.6,189.6,0.47,-1.04
2019-11-26,191.2,192,193,191.2,0.9,0
2019-11-25,191.2,192,192.6,191.2,0.22,0
2019-11-22,193.8,192,193.8,190.6,0.52,0.31
2019-11-21,192.2,191.4,192.6,189.4,0.84,-1.24
2019-11-20,196,193.8,196,191,0.75,-1.02
2019-11-19,195.4,195.8,196,193.4,1.57,0.2
2019-11-18,194,195.4,195.4,191,1.35,1.03
2019-11-15,190.2,193.4,193.4,189,1.36,1.04
