Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,300.6,301.8,305,295,6.55,0
2020-03-06,300.6,301.8,305,295,6.55,-2.39
2020-03-05,325,309.2,325,306,4.29,-2.52
2020-03-04,331,317.2,331,314,9.51,-4
2020-03-03,305,330.4,335.4,298.2,8.28,11.32
2020-03-02,304,296.8,307,288.2,12.2,-0.4
2020-02-28,321,298,326.8,298,13.08,-8.08
2020-02-27,326.8,324.2,336.8,321.2,5.44,-2.76
2020-02-26,344.6,333.4,345,333.4,6.06,-1.3
2020-02-25,370.6,337.8,370.6,335,7.48,-7.04
2020-02-24,367.4,363.4,374,359.6,3.41,-3.04
2020-02-21,370.2,374.8,376,369.6,3.96,1.24
2020-02-20,370,370.2,373.8,364.2,2.91,1.76
2020-02-19,365,363.8,367.2,355.6,4.33,-0.33
2020-02-18,371,365,374,364.2,4.42,-2.41
2020-02-17,375.6,374,377,371.8,1.14,0.32
2020-02-14,380,372.8,380,371.2,3.35,-1.22
2020-02-13,375.6,377.4,379,370,3.09,0.86
2020-02-12,389.2,374.2,389.6,371.2,12.33,-5.17
2020-02-11,394,394.6,397,387.8,2.23,0.66
2020-02-10,390,392,393.8,385,4.5,0.41
2020-02-07,390,390.4,394.8,383.6,4.61,0.21
2020-02-06,387.2,389.6,399,384.6,7.72,2.15
2020-02-05,364,381.4,385.8,364,5.31,3.08
2020-02-04,370.8,370,375,363.8,13.42,-0.16
2020-02-03,372,370.6,372.2,364.4,8.03,-0.16
2020-01-31,369.4,371.2,371.2,364.2,13.46,0.65
2020-01-30,364.6,368.8,369,359.2,6.33,1.37
2020-01-29,359,363.8,364.6,357.6,4.18,1.11
2020-01-28,366,359.8,367,357,4.41,-0.72
2020-01-27,361.4,362.4,375.6,361.4,3.96,-4.38
2020-01-24,378.4,379,385.8,372.2,3.04,0.16
2020-01-23,383.4,378.4,383.4,376.2,3.19,-0.58
2020-01-22,389.8,380.6,389.8,376,5.87,-1.7
2020-01-21,380,387.2,389.8,375,2.73,1.15
2020-01-20,378.6,382.8,386.6,378.6,1.85,-0.52
2020-01-17,382.2,384.8,392,382.2,4.6,-1.18
2020-01-16,390.4,389.4,390.4,377.6,4.77,-0.26
2020-01-15,385,390.4,393.6,382.2,6.22,1.4
2020-01-14,376,385,386.8,369.2,8.45,1.96
2020-01-13,383,377.6,385.8,375,6.16,-1.56
2020-01-10,402,383.6,405,382.4,5.83,-4.1
2020-01-09,397.6,400,404.8,395.8,9.3,1.94
2020-01-08,393.4,392.4,394,387,3.41,0.1
2020-01-07,396,392,398.2,389,5.18,-1.11
2020-01-03,385,396.4,396.4,385,6.74,0.51
2020-01-02,385,394.4,397.8,385,5,1.28
2019-12-31,389.4,389.4,389.4,389.4,0,0
2019-12-30,387.2,389.4,392,387.2,8.32,0.31
2019-12-27,390,388.2,392,384,3.27,-0.41
2019-12-24,389.8,389.8,389.8,389.8,0,0
2019-12-23,373,389.8,389.8,373,8.93,4.17
2019-12-20,368.6,374.2,379.8,366,21.47,-0.48
2019-12-19,371.8,376,376,370.6,5.16,1.13
2019-12-18,369.6,371.8,371.8,363.2,6.58,0.98
2019-12-17,373.8,368.2,374.2,364.4,7.71,0.22
2019-12-16,383,367.4,384.8,363.6,5.05,-3.52
2019-12-13,375,380.8,381.8,372,5.58,2.64
2019-12-12,358.4,371,371.6,358.4,5.71,3.06
2019-12-11,365.6,360,371,359.8,3.13,-2.12
2019-12-10,361.4,367.8,368,353.6,2.98,3.61
2019-12-09,351,355,358.6,347.2,4.07,0.45
2019-12-06,357.6,353.4,364.4,353.2,4.52,-0.39
2019-12-05,358.2,354.8,362.4,352.6,5.99,-0.95
2019-12-04,355.4,358.2,368.4,355.4,5.43,0.06
2019-12-03,361,358,369.4,357.4,3.75,-1.1
2019-12-02,379.4,362,379.4,359.8,5.21,-2.74
2019-11-29,368,372.2,376.4,367,4.16,-0.43
2019-11-28,372.2,373.8,379,370.2,3.58,-0.16
2019-11-27,380,374.4,385,371.4,5.39,-1.78
2019-11-26,383.8,381.2,388.2,378.6,21.88,-1.75
2019-11-25,390,388,390,385.6,4.3,-0.31
2019-11-22,380,389.2,390,380,6.17,1.25
2019-11-21,379,384.4,387.4,379,9.08,-0.67
2019-11-20,381,387,387,381,4.61,1.47
2019-11-19,389,381.4,392.6,379.8,4.51,-2.26
2019-11-18,389,390.2,390.4,385.8,6,0.46
2019-11-15,381.8,388.4,388.4,380,4.27,1.46
2019-11-14,393.6,382.8,395,381.2,7.75,-1.24
2019-11-13,394,387.6,394,385.2,6.9,0.26
2019-11-12,380.2,386.6,393.6,378,12.17,0.99
2019-11-08,390.8,382.8,390.8,381.4,7.97,-2.05
2019-11-07,395.4,390.8,397.2,388.4,14.94,-0.41
2019-11-06,398.8,392.4,398.8,392.2,11.85,-1.65
2019-11-05,394.4,399,399,390.4,14.3,1.17
2019-11-04,385,394.4,398.4,385,16.23,3.3
2019-10-31,384.2,381.8,384.8,380,13.85,0.79
2019-10-30,373,378.8,379.4,370,5.92,2.32
2019-10-29,380,370.2,380,369.8,7.06,-2.17
2019-10-28,369.8,378.4,378.8,365,6.7,2.94
2019-10-25,373.8,367.6,378.6,367.4,5.58,-2.44
2019-10-24,382,376.8,382,373.6,10.29,-0.89
2019-10-23,382.8,380.2,382.8,376.6,12.41,-0.05
2019-10-22,378,380.4,382,373,9.36,1.44
2019-10-21,378.8,375,385,372.6,8.77,-0.85
2019-10-18,385,378.2,385,373.8,12.11,-1.77
2019-10-17,388.2,385,395,382,25.84,-0.47
2019-10-16,376.8,386.8,388.6,369.2,11.67,2.65
2019-10-15,367,376.8,379,365.6,10.04,3.46
2019-10-14,358,364.2,372,356.2,13.85,0.05
2019-10-11,355,364,367.2,352,8.82,2.36
2019-10-10,349.6,355.6,359.2,345.2,8.56,1.02
2019-10-09,352,352,357,351,6.92,0.06
2019-10-08,341.6,351.8,351.8,337.6,12.14,2.27
2019-10-07,348.6,344,351,338.4,6.53,-0.81
2019-10-04,348.4,346.8,351,342,11.51,-0.52
2019-10-03,341.6,348.6,368.8,323.2,26.52,2.05
2019-10-02,345,341.6,345.8,338.4,8.93,-0.99
2019-10-01,350,345,350,336.6,9.71,-0.75
2019-09-30,363,347.6,365,341.6,9.27,-4.24
2019-09-27,340,363,371,331.8,20.72,6.76
2019-09-26,342.4,340,348,337,14.28,-0.12
2019-09-25,345.8,340.4,346.8,335.6,18.34,-0.76
2019-09-24,330,343,348,328.2,32.23,4.57
2019-09-23,316.8,328,330.8,309.6,9.59,3.54
2019-09-20,316.4,316.8,321.8,306,23.99,-0.69
2019-09-19,318.4,319,323.6,318.4,2.66,-0.75
2019-09-18,328.8,321.4,328.8,318.8,4.27,-1.71
2019-09-17,326,327,329,320.6,5.12,-0.61
2019-09-16,327.6,329,331.8,325.8,7.42,0.43
2019-09-13,330,327.6,340.2,322.8,8.33,-0.97
2019-09-12,324,330.8,334,320.6,8.99,2.99
2019-09-11,325,321.2,329,318.2,3.73,-1.05
2019-09-10,328.4,324.6,328.4,322,3.98,-0.43
2019-09-09,315.8,326,326.8,312,3.38,4.96
2019-09-06,313,310.6,317,310,4.53,-2.33
