Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,4.98,4.87,5,4.72,7.31,0
2020-03-06,4.98,4.87,5,4.72,7.31,-3.26
2020-03-05,5.2,5.03,5.2,4.97,5.26,-0.98
2020-03-04,4.9,5.08,5.11,4.9,3.09,0.4
2020-03-03,4.85,5.06,5.12,4.79,7.44,6.21
2020-03-02,5.09,4.76,5.2,4.76,6.4,-1.28
2020-02-28,5.01,4.83,5.08,4.83,9.57,-6.74
2020-02-27,5.29,5.17,5.3,5.09,7.28,-0.96
2020-02-26,5.23,5.22,5.35,5.15,12.31,-2.34
2020-02-25,5.6,5.35,5.64,5.32,5.75,-5.14
2020-02-24,5.93,5.64,5.93,5.6,4.1,-5.92
2020-02-21,6.05,6,6.05,5.94,4.87,-0.08
2020-02-20,6,6,6.04,5.96,2.21,-0.08
2020-02-19,6,6,6.04,5.93,3.79,0.92
2020-02-18,6.09,5.95,6.09,5.93,2.26,-1.9
2020-02-17,5.8,6.07,6.09,5.8,2.53,4.48
2020-02-14,5.91,5.8,5.95,5.8,2.26,-1.19
2020-02-13,5.91,5.88,5.92,5.79,1.85,0.26
2020-02-12,6.15,5.86,6.18,5.8,4.8,-3.86
2020-02-11,6.1,6.09,6.17,6.01,2.09,-0.08
2020-02-10,6.16,6.1,6.28,6.06,3.53,-0.97
2020-02-07,5.94,6.16,6.16,5.91,5.11,2.41
2020-02-06,5.95,6.01,6.11,5.92,4.22,1.35
2020-02-05,6,5.93,6,5.86,4.35,0.51
2020-02-04,5.7,5.91,6.04,5.7,3.48,2.52
2020-02-03,5.82,5.76,5.93,5.7,14.4,-3.03
2020-01-31,6,5.94,6,5.84,5.14,-0.75
2020-01-30,5.85,5.99,6,5.8,1.58,2.31
2020-01-29,5.8,5.85,5.89,5.8,3.72,0.86
2020-01-28,5.96,5.8,5.96,5.8,2.63,-1.86
2020-01-27,6,5.91,6,5.8,2.34,-2.15
2020-01-24,5.97,6.04,6.04,5.93,0.9,1.6
2020-01-23,5.81,5.95,5.98,5.81,3.47,1.02
2020-01-22,5.94,5.88,5.97,5.83,2.5,0.17
2020-01-21,6.02,5.88,6.04,5.8,2.77,-2.25
2020-01-20,6.2,6.01,6.2,6,1.28,-2.2
2020-01-17,6.15,6.14,6.24,6.09,4.53,0.16
2020-01-16,6.05,6.13,6.16,6.01,3.52,0.25
2020-01-15,6.2,6.12,6.23,6.06,4.14,-1.45
2020-01-14,6.03,6.21,6.22,5.99,7.77,3.41
2020-01-13,5.98,6,6,5.87,5.87,0.25
2020-01-10,6.02,5.99,6.02,5.88,2.63,-0.5
2020-01-09,5.85,6.02,6.03,5.85,7.78,2.64
2020-01-08,6.1,5.87,6.1,5.8,9.5,-3.93
2020-01-07,5.99,6.11,6.15,5.91,3.96,2.61
2020-01-03,6.16,5.95,6.16,5.85,5.26,-2.94
2020-01-02,5.85,6.13,6.17,5.82,4.86,4.79
2019-12-31,5.85,5.85,5.85,5.85,0,0
2019-12-30,5.87,5.85,5.87,5.74,1.59,0
2019-12-27,5.79,5.85,5.89,5.79,2.96,0.69
2019-12-24,5.81,5.81,5.81,5.81,0,0
2019-12-23,5.73,5.81,5.84,5.71,1.73,0.26
2019-12-20,5.71,5.79,5.95,5.62,10.03,0.35
2019-12-19,5.67,5.78,5.78,5.62,2.86,1.76
2019-12-18,5.68,5.67,5.69,5.55,1.52,-0.18
2019-12-17,5.55,5.68,5.68,5.49,2.47,2.43
2019-12-16,5.65,5.55,5.71,5.55,1.43,-2.8
2019-12-13,5.72,5.71,5.79,5.63,1.95,0
2019-12-12,5.4,5.71,5.71,5.39,4.2,4.96
2019-12-11,5.6,5.44,5.6,5.42,1.91,-2.68
2019-12-10,5.73,5.59,5.73,5.54,3.13,-1.93
2019-12-09,5.73,5.7,5.74,5.66,2.06,0.44
2019-12-06,5.5,5.67,5.68,5.5,3,3.37
2019-12-05,5.49,5.49,5.59,5.45,4.28,0
2019-12-04,5.44,5.49,5.52,5.42,1.55,1.1
2019-12-03,5.57,5.43,5.57,5.32,4.64,-1.27
