Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,91.9,89.68,92.4,88.82,84.61,0
2020-03-06,91.9,89.68,92.4,88.82,84.61,-3.47
2020-03-05,95.32,92.9,95.74,92.66,48.27,-1.32
2020-03-04,94.4,94.14,95.88,93.4,49.99,-0.68
2020-03-03,90.2,94.78,95.28,90.02,93.5,6.18
2020-03-02,89.9,89.26,92.72,87.16,67.76,1.39
2020-02-28,91.48,88.04,92.5,88,144.93,-5.84
2020-02-27,95,93.5,96.44,92.4,67.14,-1.97
2020-02-26,95,95.38,96.38,93.58,71.23,0.59
2020-02-25,96.56,94.82,97.2,94.24,55.99,-1.8
2020-02-24,99.72,96.56,99.72,96.46,65.98,-4.25
2020-02-21,101.95,100.85,102.05,100.7,36.25,-1.47
2020-02-20,102.25,102.35,103.1,101.55,35.96,0.39
2020-02-19,101.65,101.95,102.2,100.9,44.3,0.34
2020-02-18,101,101.6,102.55,100.55,30.3,0
2020-02-17,101.95,101.6,102.4,100.15,29.08,0.54
2020-02-14,103.8,101.05,103.8,100.55,16.58,-1.85
2020-02-13,103.7,102.95,103.7,101.1,37.57,-0.68
2020-02-12,102.5,103.65,104.75,102.45,72.3,1.27
2020-02-11,101.35,102.35,102.45,100.4,38.41,1.49
2020-02-10,101.75,100.85,101.85,100.2,30.79,-0.88
2020-02-07,99.88,101.75,101.75,99.52,34.74,0.99
2020-02-06,99.8,100.75,100.9,98.74,69.09,1.77
2020-02-05,97.38,99,99.38,96.3,63.31,2
2020-02-04,101.15,97.06,101.3,95.52,148.61,-3.09
2020-02-03,98.4,100.15,100.4,98.4,37.46,1.18
2020-01-31,99.88,98.98,99.88,97.42,67.32,0.16
2020-01-30,98.8,98.82,99.76,98.24,65.74,-0.6
2020-01-29,98.2,99.42,99.44,97.8,46.34,1.24
2020-01-28,97.7,98.2,98.66,97.22,91.22,0.76
2020-01-27,100,97.46,100.2,97.46,69.94,-3.02
2020-01-24,100.9,100.5,102.05,100.4,35.46,-0.4
2020-01-23,100.95,100.9,101.3,100.05,45.67,0
2020-01-22,101.75,100.9,101.8,100.2,30.83,0
2020-01-21,101.5,100.9,101.95,100.55,19.42,-0.79
2020-01-20,103.2,101.7,103.25,101.7,26.93,-1.74
2020-01-17,102.3,103.5,105.2,102.3,66.51,0.78
2020-01-16,102.8,102.7,103.45,101.45,82.36,0.2
2020-01-15,104.9,102.5,105.1,102.15,110.65,-2.38
2020-01-14,106.9,105,106.9,104.7,204.85,-1.41
2020-01-13,104.95,106.5,107.6,104.1,147.1,1.48
2020-01-10,102.75,104.95,104.95,102,89.15,2.14
2020-01-09,100.2,102.75,102.75,99.7,94.84,3.77
2020-01-08,100.6,99.02,100.6,99,37.48,-1.52
2020-01-07,101.45,100.55,102.3,99.6,34.22,-1.23
2020-01-03,101.95,101.8,101.95,100.7,39.8,-0.2
2020-01-02,101.6,102,102.45,100.8,44.95,1.54
2019-12-31,100.45,100.45,100.45,100.45,0,0
2019-12-30,100.9,100.45,101.3,100.3,18.55,-0.69
2019-12-27,100.95,101.15,101.55,100.65,28.99,-0.1
2019-12-24,101.25,101.25,101.25,101.25,0,0
2019-12-23,100.1,101.25,101.25,99.68,36.46,1.15
2019-12-20,100.3,100.1,100.7,99.82,100.95,-0.6
2019-12-19,100.4,100.7,100.8,99.88,36.77,0.4
2019-12-18,99.66,100.3,100.6,99.02,115.14,0.8
2019-12-17,98.9,99.5,100.55,98.3,94.19,0.87
2019-12-16,98.42,98.64,99.42,97.8,41.26,0.22
2019-12-13,99.5,98.42,99.5,97.7,48.76,-0.14
2019-12-12,95.36,98.56,98.82,95.36,110.18,3.92
2019-12-11,94.3,94.84,94.94,91.26,89.47,0.92
2019-12-10,95.48,93.98,95.48,93.6,51.57,-1.28
2019-12-09,96,95.2,96,94.24,71.44,-0.34
2019-12-06,97,95.52,97,95.34,60.35,-1.77
2019-12-05,96.5,97.24,98.4,95.2,105.45,0.93
2019-12-04,96.8,96.34,98.68,96.34,117.83,-0.48
2019-12-03,100,96.8,100.75,96.8,120.84,-3.01
2019-12-02,103.6,99.8,104.05,99.8,78.4,-4.77
2019-11-29,103.55,104.8,104.9,103.55,61.34,0.29
2019-11-28,103.5,104.5,104.75,102.1,52.01,1.16
2019-11-27,103.85,103.3,104.3,103.15,26.95,-0.53
2019-11-26,105,103.85,105.45,103.3,167.36,-0.81
2019-11-25,104.1,104.7,104.8,103.7,35.82,0.29
2019-11-22,104.2,104.4,104.75,103.3,38.45,0.05
2019-11-21,103.7,104.35,104.35,103.1,51.69,0.34
2019-11-20,103.35,104,104,102.7,30.98,0.39
2019-11-19,103.75,103.6,103.9,102.9,38.25,0.1
2019-11-18,104.6,103.5,104.95,102.55,34.2,-0.48
2019-11-15,103.65,104,104.35,103.25,35.18,0.48
2019-11-14,102.5,103.5,104.35,102.45,39.34,0.98
2019-11-13,104.5,102.5,104.5,101.85,68.18,-1.68
2019-11-12,105.3,104.25,105.5,104.1,103.44,-0.76
2019-11-08,105.5,105.05,106,104.6,63.15,-0.85
2019-11-07,106.4,105.95,106.75,104.9,74.16,-0.42
2019-11-06,109,106.4,110,106.05,84.88,-1.98
2019-11-05,109.05,108.55,109.25,108.1,46.87,-0.6
2019-11-04,108.5,109.2,109.25,107.35,102.34,1.3
2019-10-31,110.55,107.8,110.8,107.8,103.05,-2
2019-10-30,111.8,110,112.15,109.65,47.74,-1.7
2019-10-29,112.4,111.9,112.85,110.9,81.34,0.27
2019-10-28,110.6,111.6,112,110.25,47.51,-0.09
2019-10-25,113.1,111.7,113.9,110.8,189.93,-1.37
2019-10-24,109.05,113.25,113.25,109.05,151.38,3.66
2019-10-23,108.3,109.25,109.25,107.3,47.94,0.6
2019-10-22,107.9,108.6,108.6,106.9,53.85,0.74
2019-10-21,106.2,107.8,107.8,106.15,20.06,1.22
2019-10-18,106.8,106.5,107.2,105.7,54.26,-1.02
2019-10-17,106.9,107.6,108.2,106.4,56.37,0.75
2019-10-16,105.05,106.8,107,105.05,74.99,1.23
2019-10-15,104,105.5,105.5,103.3,45.71,1.93
