Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,31.33,30.62,31.71,30.37,91.2,0
2020-03-06,31.33,30.62,31.71,30.37,91.2,-3.22
2020-03-05,32.75,31.64,33.06,31.64,88.59,-2.83
2020-03-04,33,32.56,33.36,32.51,90.45,-1.63
2020-03-03,32.65,33.1,33.78,32.55,133.38,2.32
2020-03-02,32.33,32.35,32.55,31.32,125.43,3.39
2020-02-28,31.6,31.29,32.06,30.59,174.91,-2.1
2020-02-27,32.03,31.96,32.8,31.7,82.18,-0.99
2020-02-26,32.1,32.28,32.78,31.25,102.11,0.72
2020-02-25,33.24,32.05,33.24,31.87,115.22,-2.88
2020-02-24,33.9,33,33.93,32.78,98.77,-4.1
2020-02-21,34.69,34.41,34.79,34.32,57.5,-1.12
2020-02-20,35.14,34.8,35.18,34.73,66.06,-0.94
2020-02-19,35.3,35.13,35.34,34.81,57.92,-0.06
2020-02-18,35.28,35.15,35.49,35.12,45.57,-1.13
2020-02-17,35.89,35.55,35.92,35.47,38.09,-0.67
2020-02-14,36.08,35.79,36.08,35.55,58.65,-0.2
2020-02-13,36.45,35.86,36.45,35.74,75.36,-1.75
2020-02-12,36.25,36.5,37.09,36.18,182.85,3.78
2020-02-11,35.31,35.17,35.7,34.69,63.6,-0.34
2020-02-10,35.83,35.29,35.93,35.29,28.25,-1.84
2020-02-07,35.45,35.95,35.95,35.23,55.62,0.5
2020-02-06,35.69,35.77,35.82,35.39,62.62,0.31
2020-02-05,36.1,35.66,36.48,35.52,118.94,-0.94
2020-02-04,35,36,36.2,34.66,192.97,3.87
2020-02-03,34,34.66,34.84,33.2,101.53,1.32
2020-01-31,34.86,34.21,34.97,33.79,140.12,-1.41
2020-01-30,34.54,34.7,35.03,34.51,73.72,-0.57
2020-01-29,34.93,34.9,35.25,34.66,103.58,0
2020-01-28,34.68,34.9,35.26,34.59,70.28,1.28
2020-01-27,35.22,34.46,35.56,34.46,91.95,-3.53
2020-01-24,35.19,35.72,35.87,35.16,73.79,1.3
2020-01-23,34.37,35.26,35.78,34.32,86.42,2.26
2020-01-22,35.08,34.48,35.3,34.35,41.46,-1.43
2020-01-21,34.99,34.98,35.39,34.83,55.77,-0.2
2020-01-20,35.12,35.05,35.23,34.96,36.95,0.14
2020-01-17,34.92,35,35.38,34.9,56.78,0.34
2020-01-16,35.04,34.88,35.18,34.53,94.9,0.2
2020-01-15,35.47,34.81,35.49,34.71,98.27,-1.78
2020-01-14,35.65,35.44,35.78,35.16,164.35,0.08
2020-01-13,34.74,35.41,35.82,34.51,121.38,1.93
2020-01-10,34.81,34.74,34.89,34.25,46.7,-0.03
2020-01-09,34.25,34.75,34.75,34.2,74.78,2
2020-01-08,34.21,34.07,34.39,33.81,83.91,-1.05
2020-01-07,34.67,34.43,35,34.4,68.4,-0.92
2020-01-03,35.21,34.75,35.21,34.57,81.29,-2.03
2020-01-02,34.9,35.47,35.7,34.7,113.81,2.93
2019-12-31,34.46,34.46,34.46,34.46,0,0
2019-12-30,34.55,34.46,35.07,34.43,36.4,-0.23
2019-12-27,34.67,34.54,35,34.46,42.07,-0.37
2019-12-24,34.67,34.67,34.67,34.67,0,0
2019-12-23,34.76,34.67,34.89,34.4,38.53,-0.26
2019-12-20,34.85,34.76,35.02,34.66,185.07,-0.69
2019-12-19,35.32,35,35.32,34.75,66.82,-0.77
2019-12-18,35.37,35.27,35.4,34.59,132.03,0.23
2019-12-17,34.77,35.19,35.6,34.77,167.28,1.03
2019-12-16,34.16,34.83,35.16,34.16,72.08,1.78
2019-12-13,34.86,34.22,34.93,34.14,78.18,-0.49
2019-12-12,33.5,34.39,34.52,33.4,142.06,2.75
2019-12-11,33.86,33.47,33.87,33.12,86.38,-0.71
2019-12-10,33.79,33.71,34.37,33.23,72.19,-0.24
2019-12-09,34.09,33.79,34.11,33.71,97.45,-0.71
2019-12-06,34.88,34.03,35.1,33.9,97.74,-2.13
2019-12-05,35.21,34.77,35.6,34.42,107.72,-0.63
2019-12-04,35.55,34.99,36.06,34.86,105.81,-1.99
2019-12-03,36,35.7,36.16,35.26,70.96,-0.83
2019-12-02,36.31,36,36.69,35.95,71.39,-0.39
2019-11-29,36.76,36.14,36.96,36.02,118.85,-1.66
2019-11-28,37.62,36.75,37.78,36.38,132.04,-2.93
2019-11-27,38.04,37.86,38.13,37.65,37.69,-0.24
2019-11-26,38.71,37.95,38.71,37.8,201.53,-2.06
2019-11-25,38.64,38.75,38.91,38.49,70.16,0.34
2019-11-22,38.01,38.62,38.7,37.76,72.87,1.36
2019-11-21,37.85,38.1,38.14,37.51,46.49,0.71
2019-11-20,37.5,37.83,37.91,37.37,76.89,0.29
2019-11-19,38,37.72,38.13,37.48,79.32,-0.42
2019-11-18,38.41,37.88,38.7,37.73,62.91,-0.86
2019-11-15,38.5,38.21,38.83,38.03,61.87,-0.6
2019-11-14,39.15,38.44,39.45,38.44,128.59,-1.96
2019-11-13,39.4,39.21,39.44,38.83,85.95,-0.33
2019-11-12,39.19,39.34,39.55,39,106.41,0.87
2019-11-08,39.1,39,39.36,38.6,85.24,-0.03
2019-11-07,39.21,39.01,39.74,38.41,123.32,-0.36
2019-11-06,39.8,39.15,39.98,39.15,80.49,-1.81
2019-11-05,39.45,39.87,39.95,39.25,104.31,1.06
2019-11-04,38.47,39.45,39.57,38.34,118.69,3.49
2019-10-31,39.1,38.12,39.1,38.07,85.11,-1.8
2019-10-30,39.05,38.82,39.41,38.68,89.11,-0.46
2019-10-29,38.42,39,39.11,38.07,113.61,1.11
2019-10-28,37.98,38.57,38.86,37.87,60.77,1.07
2019-10-25,39,38.16,39.04,37.73,113.04,-2.33
2019-10-24,38.55,39.07,39.18,38.42,106.99,1.4
2019-10-23,38.42,38.53,38.65,38.26,64.34,-0.18
2019-10-22,38.1,38.6,38.6,37.65,111.02,1.34
2019-10-21,37.51,38.09,38.14,37.51,56.01,1.2
2019-10-18,37.55,37.64,37.84,37.3,83.8,-0.58
2019-10-17,37.16,37.86,38.15,37.12,131.39,2.02
2019-10-16,36.79,37.11,37.59,36.7,213.36,1.17
2019-10-15,36.93,36.68,36.98,36.33,180.1,-0.05
2019-10-14,38,36.7,38,36.5,114.5,-3.32
2019-10-11,37.18,37.96,37.99,37.06,75.02,1.96
2019-10-10,37.3,37.23,37.45,36.02,132.27,-0.19
2019-10-09,37.45,37.3,37.8,37.08,73.6,0.24
2019-10-08,37.51,37.21,37.72,37.21,105.68,-1.06
2019-10-07,37.92,37.61,37.95,37.28,51.14,-0.34
2019-10-04,37.3,37.74,38.09,37.2,91.93,1.56
2019-10-03,37.3,37.16,39.39,35.8,266.42,-0.62
2019-10-02,38.97,37.39,39.11,37.39,117.05,-3.76
2019-10-01,39.42,38.85,39.55,38.7,77,-1.2
2019-09-30,40,39.32,40,38.8,80.27,-1.8
2019-09-27,39.48,40.04,40.08,39.43,104.52,1.55
2019-09-26,39.45,39.43,39.62,38.96,129.08,-0.05
2019-09-25,39.36,39.45,39.5,38.82,78.42,-0.68
2019-09-24,38.82,39.72,39.8,38.68,134.82,2.64
2019-09-23,39.61,38.7,39.78,38.36,135.7,-2.86
2019-09-20,40.66,39.84,41.05,39.49,238.11,-2.45
2019-09-19,41.01,40.84,41.04,40.47,75.88,-1.04
2019-09-18,41,41.27,41.31,40.46,86.3,0.41
2019-09-17,41.35,41.1,41.6,40.76,84.5,-1.56
2019-09-16,41.05,41.75,41.82,40.75,119.11,1.33
2019-09-13,40.82,41.2,41.4,40.82,84.12,0.64
2019-09-12,41.18,40.94,41.44,40.65,98.44,-0.58
2019-09-11,41.5,41.18,41.77,40.84,105.74,-0.53
2019-09-10,40.88,41.4,41.74,40.85,127.96,0.56
2019-09-09,39.48,41.17,41.17,39.48,129.68,4.02
2019-09-06,39.01,39.58,39.82,38.98,85.9,1.46
2019-09-05,39,39.01,39.32,38.55,97.74,1.11
2019-09-04,39.48,38.58,39.48,38.12,190.59,-1.78
2019-09-02,39,39.28,39.4,38.7,37.21,0.33
2019-08-30,37.4,39.15,39.26,37.34,127.96,4.4
2019-08-29,37,37.5,37.5,36.2,108.52,1.49
2019-08-28,39.24,36.95,39.47,36.75,145.15,-5.67
2019-08-27,39.3,39.17,39.78,38.41,240.34,-0.2
2019-08-26,39.45,39.25,39.72,38.88,52.63,-0.73
2019-08-23,40.3,39.54,40.47,38.81,91.18,-1.4
2019-08-22,39.99,40.1,40.39,39.82,114.66,0.5
2019-08-21,39.57,39.9,40.15,39.5,76.07,0.5
2019-08-20,39.5,39.7,39.91,39.28,115.02,0.66
2019-08-19,39.2,39.44,39.5,39,109.31,1.36
2019-08-16,38.5,38.91,39.26,38.38,126.86,1.75
2019-08-14,39.2,38.24,39.38,38.24,92.85,-2.99
2019-08-13,39,39.42,39.59,38.2,83.27,1.34
2019-08-12,39,38.9,39.39,38.62,38.68,0.08
2019-08-09,39.42,38.87,39.74,38.46,65.27,-1.4
2019-08-08,38.93,39.42,39.65,38.65,126.38,2.47
2019-08-07,38.45,38.47,39.29,38.01,94.75,0.23
2019-08-06,38.7,38.38,39.65,38.38,109.92,-0.83
2019-08-05,39.03,38.7,39.4,38.65,79.83,-1.28
2019-08-02,39.2,39.2,39.48,38.56,90.28,-0.36
2019-08-01,40.61,39.34,40.95,39.34,125.97,-3.74
2019-07-31,39.94,40.87,41.05,39.71,166.18,2.35
2019-07-30,40.6,39.93,40.65,39.86,57.04,-4.15
2019-07-29,42.15,41.66,42.18,41.63,63.9,-1.12
2019-07-26,42.18,42.13,42.33,41.81,62.16,-0.14
2019-07-25,42.43,42.19,42.57,41.96,87.91,-0.19
2019-07-24,42.51,42.27,42.7,42.11,90.76,-0.77
2019-07-23,42.6,42.6,42.79,42.49,137.49,0.12
2019-07-22,42.5,42.55,42.7,42.3,92.9,-0.23
2019-07-19,42.42,42.65,42.83,42.16,213.24,0.52
2019-07-18,41.6,42.43,42.44,41.3,337.13,1.8
2019-07-17,41.5,41.68,41.94,41.46,145.75,0.19
