Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,13.1,13.2,13.2,12.98,0.08,0
2020-03-06,13.1,13.2,13.2,12.98,0.08,-1.64
2020-03-05,14.54,13.42,14.54,13.4,0.06,-4.82
2020-03-04,14.65,14.1,14.65,14,0.08,-3.75
2020-03-03,14.12,14.65,14.65,14.12,0.02,4.27
2020-03-02,14.4,14.05,14.4,13.8,0.05,-2.43
2020-02-28,14.67,14.4,14.67,14.15,0.05,-1.95
2020-02-27,16.3,14.69,16.3,14.67,0.04,-3.56
2020-02-26,15.2,15.23,15.36,14.95,0.02,0.85
2020-02-25,15.4,15.1,15.4,15.1,0,-2.58
2020-02-24,15.9,15.5,15.9,15.5,0.03,-2.52
2020-02-21,16.5,15.9,16.5,15.9,0,0
2020-02-20,16.73,15.9,16.73,15.9,0,-4.5
2020-02-19,16.7,16.65,16.7,16.5,0.02,-0.54
2020-02-18,16.74,16.74,16.74,16.74,0,0
2020-02-17,16.5,16.74,16.74,16.04,0.06,1.45
2020-02-14,16.3,16.5,16.5,16.3,0,3.51
2020-02-13,15.94,15.94,15.94,15.94,0,0
2020-02-12,16.5,15.94,16.5,15.86,0.03,0.63
2020-02-11,16.5,15.84,16.6,15.74,0.05,-4
2020-02-10,16,16.5,16.61,15.7,0.01,5.1
2020-02-07,15.7,15.7,15.7,15.7,0,0
2020-02-06,15.86,15.7,16.39,15.2,0.11,-0.63
2020-02-05,15.67,15.8,15.8,15.67,0.02,1.28
2020-02-04,14.95,15.6,15.69,14.95,0.02,4
2020-02-03,15.1,15,15.1,14.95,0,-0.66
2020-01-31,14.99,15.1,15.1,14.99,0,0.33
2020-01-30,14.95,15.05,15.05,14.95,0.01,-3.46
2020-01-29,15.59,15.59,15.6,15.59,0,-0.04
2020-01-28,15.5,15.6,15.7,15,0.01,-0.66
2020-01-27,15.77,15.7,15.77,15.05,0.01,0
2020-01-24,15.7,15.7,15.78,15.7,0,0
2020-01-23,15.7,15.7,15.7,15.7,0,2.88
2020-01-22,15.7,15.26,15.7,15.26,0.01,-1.55
2020-01-21,15.5,15.5,15.7,15.5,0.01,0
2020-01-20,15.79,15.5,15.79,15.3,0.03,-1.84
2020-01-17,15.3,15.79,15.79,15.26,0.02,2.2
2020-01-16,15.46,15.45,15.8,15.45,0.01,0
2020-01-15,15.65,15.45,15.65,15.44,0.04,-0.96
2020-01-14,16,15.6,16,15.6,0.01,-0.32
2020-01-13,15.65,15.65,15.65,15.65,0,0
2020-01-10,16.2,15.65,16.2,15.65,0,0.32
2020-01-09,15.6,15.6,15.6,15.6,0,0
2020-01-08,16.2,15.6,16.2,15.6,0,-3.11
2020-01-07,16.24,16.1,16.25,16.1,0,-0.86
2020-01-03,16.25,16.24,16.25,15.8,0.01,0.5
2020-01-02,15.52,16.16,16.16,15.52,0.01,4.12
2019-12-31,15.52,15.52,15.52,15.52,0,0
2019-12-30,15.2,15.52,15.8,15.2,0.01,-3
2019-12-27,16,16,16,16,0.01,0
2019-12-24,16,16,16,16,0,0
2019-12-23,16,16,16,15.97,0.02,0
2019-12-20,15.6,16,16,15.6,0.01,2.56
2019-12-19,15.6,15.6,16.2,15.56,0.02,0
2019-12-18,15.6,15.6,15.6,15.6,0,0
2019-12-17,16,15.6,16,15.56,0.01,0.65
2019-12-16,16.16,15.5,16.16,15.5,0.01,-2.52
2019-12-13,16,15.9,16.2,14.9,0.07,-0.63
2019-12-12,15.7,16,16,15.7,0.01,1.91
2019-12-11,15.7,15.7,15.7,15.7,0,0
2019-12-10,15.7,15.7,15.7,15.7,0,-1.88
2019-12-09,16,16,16,16,0.01,1.78
2019-12-06,15,15.72,15.72,15,0.01,4.38
2019-12-05,14.9,15.06,15.06,14.9,0.01,1.07
2019-12-04,14.9,14.9,14.9,14.9,0,0
2019-12-03,15.1,14.9,15.1,14.9,0.02,-1
2019-12-02,15.5,15.05,15.98,15.05,0.02,-2.9
2019-11-29,15.9,15.5,15.9,15.5,0.03,-2.21
2019-11-28,15.85,15.85,15.85,15.8,0.01,2.26
2019-11-27,15.5,15.5,15.5,15.5,0,-1.27
2019-11-26,15.7,15.7,15.7,15.7,0,0
2019-11-25,15.8,15.7,15.8,15.41,0.02,-1.26
2019-11-22,15.9,15.9,15.9,15.9,0,3.18
2019-11-21,16,15.41,16,15.41,0.01,-3.69
2019-11-20,15.42,16,16,15.42,0,3.76
2019-11-19,15.98,15.42,15.98,15.42,0,-0.52
