Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,261.4,252.2,263.4,248,18.84,0
2020-03-06,261.4,252.2,263.4,248,18.84,-5.47
2020-03-05,270,266.8,276.4,265.2,15.88,-2.63
2020-03-04,268,274,276.4,268,14.59,0.66
2020-03-03,260,272.2,279,258,30.39,4.69
2020-03-02,260.4,260,261.8,252,27.92,3.67
2020-02-28,256.6,250.8,264,247.2,39.62,-5.36
2020-02-27,270.6,265,278.2,257.8,24.48,-3.64
2020-02-26,279,275,281.4,270.8,17.95,0
2020-02-25,286,275,287.2,273.8,23.59,-3.85
2020-02-24,295,286,295.4,283,12.35,-3.7
2020-02-21,301.8,297,302.2,295.6,11.04,-1.13
2020-02-20,299.2,300.4,303.8,298.4,8.77,-0.46
2020-02-19,301.2,301.8,302.6,295,12.53,0.33
2020-02-18,303,300.8,307,300.8,8.85,-1.83
2020-02-17,309,306.4,309,303.6,7.57,0.33
2020-02-14,310,305.4,311.8,304.8,8.59,-0.26
2020-02-13,306.6,306.2,307.8,303.4,8.8,-0.26
2020-02-12,308,307,310.6,300.8,11.12,-0.97
2020-02-11,310,310,317.4,310,21.47,-1.02
2020-02-10,314.4,313.2,315,310.4,24.98,-0.57
2020-02-07,307.4,315,315,303.8,25.9,1.42
2020-02-06,308.8,310.6,312.8,304.6,31.29,1.04
2020-02-05,305.8,307.4,308,302,13.84,1.12
2020-02-04,294.4,304,308.4,290,32.16,3.75
2020-02-03,285.6,293,294.6,282,14.3,2.3
2020-01-31,289,286.4,291.2,282.8,35.12,0
2020-01-30,292.6,286.4,293.2,285.8,22.12,-2.12
2020-01-29,287,292.6,293.8,287,50.51,3.83
2020-01-28,278,281.8,283.8,276.2,31.17,1.59
2020-01-27,288,277.4,290.4,277.4,16.45,-5
2020-01-24,289,292,293.6,289,6.48,1.04
2020-01-23,291.8,289,292,287,7.49,0.77
2020-01-22,293.4,286.8,293.4,285.2,9.37,-1.04
2020-01-21,296,289.8,296,287.6,13.2,-1.9
2020-01-20,304,295.4,306,294.6,5.42,-3.65
2020-01-17,298,306.6,308.8,298,10.84,1.66
2020-01-16,295,301.6,302.4,295,16.67,2.72
2020-01-15,297.2,293.6,297.8,292.6,23.91,-0.88
2020-01-14,299,296.2,299.4,296,35.62,-2.12
2020-01-13,298,302.6,302.6,298,15.59,0.6
2020-01-10,301,300.8,301,297.2,10.12,-0.33
2020-01-09,301.8,301.8,302.2,297.4,21.37,1.96
2020-01-08,300.8,296,300.8,294.8,12.68,-2.18
2020-01-07,306,302.6,308.4,300.6,12.27,-1.3
2020-01-03,309.4,306.6,310,302.6,18.99,-1.22
2020-01-02,306,310.4,310.8,304,13.09,0.98
2019-12-31,307.4,307.4,307.4,307.4,0,0
2019-12-30,301,307.4,307.4,298,11.08,0.85
2019-12-27,299.8,304.8,304.8,298.4,6.07,1.13
2019-12-24,301.4,301.4,301.4,301.4,0,0
2019-12-23,295.6,301.4,302.6,295,8.42,1.48
2019-12-20,295,297,300.6,294.8,43.32,0.07
2019-12-19,302,296.8,302.2,296,20.68,-1.07
2019-12-18,304,300,304,296.4,36.43,-0.86
2019-12-17,298.2,302.6,303.2,297.4,32.22,1.48
2019-12-16,293.4,298.2,298.4,291.6,14.26,1.15
2019-12-13,291.8,294.8,299,290.6,16.95,1.66
2019-12-12,275,290,292.2,272.6,13.96,6.93
2019-12-11,270,271.2,273.2,267,16.93,0.74
2019-12-10,276.6,269.2,277.6,267.8,18.31,-2.11
2019-12-09,280.8,275,283.6,273,13.62,-2.96
2019-12-06,284.4,283.4,286,281.4,14.45,0.78
2019-12-05,282,281.2,285.2,279.2,14.31,0.79
2019-12-04,283.8,279,285.6,277.8,10.42,-1.69
2019-12-03,279,283.8,285.6,279,12.68,0.71
2019-12-02,280.6,281.8,285,276.8,36.46,2.47
2019-11-29,281.2,275,283.6,272.6,23.67,-2.55
2019-11-28,290.6,282.2,291.8,281.2,28.35,-3.02
2019-11-27,295.2,291,295.8,290.4,11.61,-0.89
2019-11-26,295.8,293.6,297,292.6,48.07,-1.14
2019-11-25,297.6,297,297.6,294.2,15.57,0.75
2019-11-22,288.2,294.8,297,288.2,7.83,1.52
2019-11-21,294,290.4,297.2,288.4,20.45,-2.22
2019-11-20,294,297,299.8,293.4,7.76,0.07
2019-11-19,301,296.8,301,294.6,11.53,-0.54
2019-11-18,303.4,298.4,303.4,295.8,11.71,-0.8
2019-11-15,301.6,300.8,305.6,297.6,12.74,-0.59
2019-11-14,301.8,302.6,308,301.8,10.63,0.27
2019-11-13,311.4,301.8,311.4,301.2,16.65,-1.76
2019-11-12,310,307.2,314,306,17.25,-0.52
2019-11-08,317.8,308.8,317.8,307.6,10.08,-2.28
2019-11-07,319.4,316,319.4,313,17.93,-1
2019-11-06,314,319.2,320,312.8,14.83,0.57
2019-11-05,316.4,317.4,320.6,312,25.81,-1.12
2019-11-04,315,321,321.2,315,15.11,2.49
2019-10-31,315,313.2,315,309,15.68,-0.06
2019-10-30,318,313.4,318,308.6,9.88,-0.82
2019-10-29,315.8,316,316,311,13.46,-0.06
2019-10-28,305,316.2,317.2,303.6,11.09,3
2019-10-25,315.8,307,316.2,302.4,27.62,-2.79
2019-10-24,322,315.8,323,313.6,27.09,-1.37
2019-10-23,315.8,320.2,324.2,314.6,21.39,0.31
2019-10-22,308,319.2,319.2,307.2,35.96,4.66
2019-10-21,297.8,305,309,297.8,13.04,1.8
2019-10-18,297.4,299.6,299.8,296.8,38.84,-0.07
2019-10-17,298,299.8,300.8,293.8,17.88,1.77
2019-10-16,297.4,294.6,297.4,292.4,9.56,-0.47
2019-10-15,300,296,301.6,295.2,6.04,-1.33
2019-10-14,295,300,300,293,9.4,1.01
2019-10-11,285,297,297.8,285,13.56,4.28
2019-10-10,286,284.8,288.6,284.8,8.08,-0.9
2019-10-09,292.6,287.4,292.6,285.6,6.45,-1.3
2019-10-08,286.2,291.2,291.8,284.8,15.15,1.46
2019-10-07,285.8,287,288,283.6,8.91,0.35
2019-10-04,284,286,290,283.6,67.05,0.99
2019-10-03,296,283.2,310.4,270,51.91,-4.77
2019-10-02,306.4,297.4,313.2,296.4,34.15,-4.68
2019-10-01,314.6,312,316,306.2,25.69,-0.51
2019-09-30,319,313.6,319,304.2,25.79,-0.76
2019-09-27,311.8,316,324,304.2,20.57,1.35
2019-09-26,298,311.8,314.6,298,19.32,2.03
2019-09-25,308,305.6,308,302,8.53,-1.42
2019-09-24,312.8,310,312.8,304.2,23.97,0.26
2019-09-23,304,309.2,312.8,301.6,16.08,1.24
2019-09-20,309.6,305.4,312,302,57.05,-2.12
2019-09-19,316.2,312,316.8,310.4,16.79,-2.56
2019-09-18,318.6,320.2,320.4,311.6,20.16,0.44
2019-09-17,319,318.8,319,309,18.99,0.13
2019-09-16,315.4,318.4,319.4,306.2,23.22,0.06
2019-09-13,315.2,318.2,319.8,314,14.1,0.76
2019-09-12,302.8,315.8,316.8,302.8,19.61,3.34
2019-09-11,300.6,305.6,305.6,300,16.03,2.34
2019-09-10,309,298.6,309,293.4,14.68,-2.1
2019-09-09,299.8,305,309,299,7.15,1.73
2019-09-06,297.4,299.8,301,293.6,7.42,1.35
2019-09-05,296.8,295.8,303.8,294.2,8.84,-0.14
2019-09-04,298.2,296.2,304.8,295.8,15.31,-1.99
2019-09-02,305,302.2,305,299.8,5.5,-0.92
2019-08-30,287.6,305,306.2,287.6,17.25,4.96
2019-08-29,284,290.6,291.8,281.4,24.76,3.05
2019-08-28,300.4,282,303.4,278.6,29.79,-6.93
2019-08-27,307.6,303,311.4,294.2,69.55,-2.01
2019-08-26,306,309.2,312.8,301.8,9.55,0.78
2019-08-23,308.6,306.8,314.8,305.4,22.59,-0.2
2019-08-22,303.4,307.4,312.8,299.2,15.96,2.26
2019-08-21,299,300.6,309,296.4,19.82,0.8
2019-08-20,297.4,298.2,302,293,16.33,0.47
2019-08-19,298,296.8,302,292.6,17.61,0.95
2019-08-16,298.8,294,301.8,292.4,24.85,-1.21
2019-08-14,309,297.6,311.8,297.6,21.66,-4.12
2019-08-13,302,310.4,313.2,298.2,18.59,1.77
2019-08-12,311,305,311.6,304.8,8.92,-0.65
2019-08-09,313,307,314.8,305.6,14.05,-1.98
2019-08-08,316.6,313.2,316.6,310.6,25.76,0.71
2019-08-07,312,311,314.4,308,17.45,-0.32
2019-08-06,316,312,317.8,308.8,25.13,-0.64
2019-08-05,316.8,314,320.2,312.8,17.47,-1.26
2019-08-02,318,318,323.4,313.4,15.53,-0.5
2019-08-01,325.4,319.6,331,315.6,20.15,-2.38
