Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,43.2,43.2,43.2,43.2,0,0
2020-03-06,43.2,43.2,43.2,43.2,0,0.12
2020-03-05,44.14,43.15,44.14,43,0.02,-4.67
2020-03-04,50,45.27,50,45.26,0,-2.6
2020-03-03,48.07,46.48,48.07,46.48,0,-2.25
2020-03-02,47.55,47.55,47.55,47.55,0,-3.99
2020-02-28,49.84,49.52,50.51,49.52,0.3,-3.28
2020-02-27,52.58,51.2,52.6,51.2,0.05,-1.54
2020-02-26,52,52,52,52,0,-8.77
2020-02-25,57,57,57,57,0,0
2020-02-24,57.1,57,57.1,57,0,-5
2020-02-21,60,60,60,60,0,0
2020-02-20,60,60,60,60,0,0
2020-02-19,60,60,60,60,0,0
2020-02-18,60,60,60,60,0,1.69
2020-02-17,59,59,59,59,0,0
2020-02-14,59,59,59,59,0,0
2020-02-13,59,59,59,59,0,0
2020-02-12,57,59,60,57,0.01,2.08
2020-02-11,58.24,57.8,58.24,57.8,0,1.4
2020-02-10,57,57,57,57,0,-1.72
2020-02-07,58,58,58,58,0,0
2020-02-06,56.31,58,58.8,56.31,0.06,11.54
2020-02-05,52,52,52,52,0,0
2020-02-04,52,52,52,52,0,-7.96
2020-02-03,56.5,56.5,56.5,56.5,0,6.08
2020-01-31,53.26,53.26,53.26,53.26,0,0
2020-01-30,55,53.26,55,53,2.67,-6.56
2020-01-29,54.46,57,57,54,2.72,3.64
2020-01-28,55,55,55,55,0,0
2020-01-27,55,55,55,55,0,0
2020-01-24,55,55,55,55,0,3
2020-01-23,53.4,53.4,53.4,53.4,0,0
2020-01-22,53.65,53.4,53.65,53.4,2.68,-3.96
2020-01-21,55.6,55.6,55.6,55.6,0.01,0
2020-01-20,55.6,55.6,55.6,55.6,0,0
2020-01-17,55.6,55.6,55.6,55.6,0,0
2020-01-16,56,55.6,56,55.35,2.78,-0.45
2020-01-15,56.6,55.85,59,55.85,2.81,-2.02
2020-01-14,60,57,60,56.3,2.03,-5
2020-01-13,60,60,60,60,0,3.81
2020-01-10,57.8,57.8,57.8,57.8,0,0
2020-01-09,56.1,57.8,57.8,56.1,2.89,3.03
2020-01-08,56.1,56.1,56.1,56.1,0,0.09
2020-01-07,56.1,56.05,56.1,56.05,2.8,2.47
2020-01-03,54.7,54.7,54.7,54.7,0.01,0.37
2020-01-02,54.5,54.5,54.5,54.5,0,0
2019-12-31,54.5,54.5,54.5,54.5,0,0
2019-12-30,57,54.5,57,54.5,0.56,-4.39
2019-12-27,57,57,57,57,0,0
2019-12-24,57,57,57,57,0,0
2019-12-23,57,57,57,57,0,4.59
2019-12-20,54.5,54.5,54.5,54.5,0,0.74
2019-12-19,54.1,54.1,54.1,54.1,0,0
2019-12-18,54.1,54.1,54.1,54.1,0,0
2019-12-17,54.1,54.1,54.1,54.1,0,0
2019-12-16,54,54.1,54.1,54,0,-8.31
2019-12-13,59,59,59,59,0,10.9
2019-12-12,53.2,53.2,53.2,53.2,0,0
2019-12-11,53.2,53.2,53.2,53.2,0,0
2019-12-10,53.2,53.2,53.2,53.2,0.01,0
2019-12-09,53.2,53.2,53.2,53.2,0,0
2019-12-06,54,53.2,54,53.2,0,-9.83
2019-12-05,59,59,59,59,0,0
2019-12-04,59,59,59,59,0,0
2019-12-03,59,59,59,59,0,0
2019-12-02,59,59,59,59,0.01,9.26
2019-11-29,54,54,54,54,0,0
2019-11-28,54,54,54,54,0,0
2019-11-27,54,54,54,54,0,1.09
2019-11-26,53.42,53.42,53.42,53.42,0,0
2019-11-25,53.42,53.42,53.42,53.42,0,0
2019-11-22,53.42,53.42,53.42,53.42,0,0
2019-11-21,53.42,53.42,53.42,53.42,0,0
2019-11-20,53.42,53.42,53.42,53.42,0,0
2019-11-19,53.42,53.42,53.42,53.42,0,-0.15
2019-11-18,53.5,53.5,53.5,53.5,0,0
2019-11-15,53.5,53.5,53.5,53.5,0,0
2019-11-14,53.5,53.5,53.5,53.5,0,0
2019-11-13,53.5,53.5,53.5,53.5,0,0
2019-11-12,53.5,53.5,53.5,53.5,0,-0.93
2019-11-08,52,54,54,52,0.02,1.89
2019-11-07,50.2,53,53,50.2,0.01,0.95
2019-11-06,50.2,52.5,52.5,50.2,0.01,0
2019-11-05,52.5,52.5,52.5,52.5,0,0
2019-11-04,52.5,52.5,52.5,52.5,0,8.25
2019-10-31,48.5,48.5,48.5,48.5,0.01,-3.96
2019-10-30,50.5,50.5,50.5,50.5,0,0
2019-10-29,50.5,50.5,50.5,50.5,0,0
2019-10-28,50.5,50.5,50.5,50.5,0,0
2019-10-25,50.5,50.5,50.5,50.5,0,0
2019-10-24,50.5,50.5,50.5,50.5,0,0
2019-10-23,50.5,50.5,50.5,50.5,0,0
2019-10-22,50.5,50.5,50.5,50.5,0,0
2019-10-21,49.5,50.5,50.5,49.5,0.02,2.02
2019-10-18,46.5,49.5,49.5,46.5,0.03,-0.8
2019-10-17,49.9,49.9,49.9,49.9,0,0
2019-10-16,48.4,49.9,49.9,48.4,0,5.27
2019-10-15,47.4,47.4,47.4,47.4,0,0
2019-10-14,47.4,47.4,47.4,47.4,0,0
2019-10-11,47.4,47.4,47.4,47.4,0,0
2019-10-10,47.4,47.4,47.4,47.4,0,0
2019-10-09,47.4,47.4,47.4,47.4,0,0
2019-10-08,47.4,47.4,47.4,47.4,0,1.94
2019-10-07,46.5,46.5,46.5,46.5,0,0
2019-10-04,46.5,46.5,46.5,46.5,0,0
2019-10-03,46.5,46.5,46.5,46.5,0,0
2019-10-02,47.46,46.5,47.46,46.5,0,-2.72
2019-10-01,47.8,47.8,47.8,47.8,0,0
2019-09-30,47.5,47.8,47.8,47.5,0.01,0.63
2019-09-27,47.5,47.5,47.5,47.5,0,0
2019-09-26,47.5,47.5,47.5,47.5,0,0
2019-09-25,46.46,47.5,47.5,46.46,0.01,0
2019-09-24,47.5,47.5,47.5,47.5,0,0
2019-09-23,47.5,47.5,47.5,47.5,0,0
2019-09-20,47.5,47.5,47.5,47.5,0,0
2019-09-19,47.5,47.5,47.5,47.5,0,2.24
2019-09-18,46.46,46.46,46.46,46.46,0,-7.08
2019-09-17,50,50,50,50,0,0
2019-09-16,50,50,50,50,0,0
2019-09-13,47.8,50,50,47.8,0,4.6
2019-09-12,47.8,47.8,47.8,47.8,0,0
2019-09-11,48.5,47.8,48.5,45.06,0.03,-0.52
2019-09-10,48.05,48.05,48.05,48.05,0,4.23
2019-09-09,46.1,46.1,46.1,46.1,0,0
2019-09-06,46.1,46.1,46.1,46.1,0,0
2019-09-05,45,46.1,46.1,45,0,2.23
2019-09-04,45.09,45.09,45.09,45.09,0,2.49
2019-09-02,44,44,44,44,0,-1.12
2019-08-30,44.5,44.5,44.5,44.5,0,0
2019-08-29,44.5,44.5,44.5,44.5,0,4.46
2019-08-28,42.6,42.6,42.6,42.6,0,0
2019-08-27,42.6,42.6,42.6,42.6,0,0
2019-08-26,42.6,42.6,42.6,42.6,0,0
2019-08-23,42.1,42.6,42.6,42.1,0,-0.23
2019-08-22,42,42.7,42.7,42,0,0.86
2019-08-21,42.34,42.34,42.34,42.34,0,0
2019-08-20,42.34,42.34,42.34,42.34,0,6.37
2019-08-19,39.8,39.8,39.8,39.8,0,0
2019-08-16,39.8,39.8,39.8,39.8,0,0
2019-08-14,39.8,39.8,39.8,39.8,0,-0.86
2019-08-13,39.9,40.15,40.15,39.9,0,-1.7
2019-08-12,40.84,40.84,40.84,40.84,0,0.34
2019-08-09,41.1,40.7,41.3,40.33,0.01,-3.01
2019-08-08,41.97,41.97,41.97,41.97,0,0
2019-08-07,42.8,41.97,42.8,41.97,0.01,-15.22
2019-08-06,49.5,49.5,49.5,49.5,0,0
2019-08-05,49.5,49.5,49.5,49.5,0,8.08
2019-08-02,45.8,45.8,45.8,45.8,0,0
2019-08-01,45.8,45.8,45.8,45.8,0,0
2019-07-31,45.9,45.8,46.01,45.8,0.01,0.13
2019-07-30,45.74,45.74,45.74,45.74,0,-4.86
2019-07-29,48.08,48.08,48.08,48.08,0,0
