Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,410,414.5,417.5,408,5.23,0
2020-03-06,410,414.5,417.5,408,5.24,-2.93
2020-03-05,435,427,439,417.5,7.28,1.3
2020-03-04,417,421.5,435,416,4.22,-2.2
2020-03-03,416,431,435.5,416,11.37,5.64
2020-03-02,401,408,415,383,11.93,5.97
2020-02-28,371,385,393.5,365.5,18.22,-4.47
2020-02-27,424,403,430.5,398.5,9.16,-7.36
2020-02-26,427,435,437,408,10.56,-1.14
2020-02-25,440,440,443,414,21.19,-1.57
2020-02-24,461,447,464.5,443.5,11.83,-4.39
2020-02-21,472,467.5,485,461.5,9.58,-2.3
2020-02-20,478.5,478.5,481,458.5,8.13,0.21
2020-02-19,482.5,477.5,493.5,471,5,-1.34
2020-02-18,469.5,484,486,467.5,4.47,2.98
2020-02-17,460,470,475,460,3.69,2.17
2020-02-14,457.5,460,464,451.5,4.68,1.21
2020-02-13,456,454.5,459,447,1.96,0.22
2020-02-12,455,453.5,456,450,1.88,-0.33
2020-02-11,440,455,457,439.5,6.16,4.12
2020-02-10,444,437,444,430,1.89,-1.58
2020-02-07,445.5,444,448,441,1.55,0
2020-02-06,440,444,448,440,2.86,0.68
2020-02-05,440,441,449.5,438,4.27,0.23
2020-02-04,438,440,448,436.5,3.53,0.92
2020-02-03,426,436,436,418.5,2.63,0.93
2020-01-31,428,432,435,425,3.05,0.82
2020-01-30,436,428.5,436,424,2.58,-1.38
2020-01-29,434,434.5,439.5,430.5,1.13,0.12
2020-01-28,434,434,441,431,1.7,-0.12
2020-01-27,442,434.5,443.5,428,4.98,-3.01
2020-01-24,448.5,448,448.5,438,1.62,-0.11
2020-01-23,451,448.5,460,448.5,3.08,-0.11
2020-01-22,429.5,449,458,429.5,9.56,5.52
2020-01-21,421,425.5,427,419.5,4.38,1.07
2020-01-20,413,421,421,410,1.87,2.18
2020-01-17,412,412,412,405,2.48,-0.72
2020-01-16,416,415,419.5,414,1.59,-0.36
2020-01-15,417,416.5,422,415.5,4.11,-0.12
2020-01-14,416,417,418.5,413.5,0.98,-0.36
2020-01-13,415,418.5,418.5,408.5,2.15,0.97
2020-01-10,408.5,414.5,415,407,2.05,1.47
2020-01-09,403,408.5,412.5,402,2.84,1.74
2020-01-08,399.5,401.5,405,392,2.46,0.5
2020-01-07,401,399.5,402.5,396,0.63,-0.25
2020-01-03,402,400.5,402.5,396,0.92,0
2020-01-02,395,400.5,401,394.5,1.42,0.13
2019-12-31,400,400,400,400,0,0
2019-12-30,398,400,408,396.5,3.48,0.5
2019-12-27,396.5,398,398,391,1.73,0.51
2019-12-24,396,396,396,396,0,0
2019-12-23,391,396,396,390,2.5,1.54
2019-12-20,387.5,390,393.5,380,5.01,0.91
2019-12-19,377,386.5,387,375,2.75,2.52
2019-12-18,380,377,380.5,374,6.34,-0.79
2019-12-17,375,380,382,372.5,1.26,1.33
2019-12-16,385,375,386.5,374,1.89,-2.47
2019-12-13,389,384.5,389.5,371,2.85,-0.77
2019-12-12,390,387.5,391,382,2.85,-0.13
2019-12-11,393,388,393,382,2.53,0
2019-12-10,380,388,388,379,1.62,2.65
2019-12-09,375,378,380,375,0.88,0.93
2019-12-06,382.5,374.5,382.5,372,0.8,-2.09
2019-12-05,363,382.5,383,363,4.25,6.1
2019-12-04,358,360.5,361.5,353,1.36,1.55
2019-12-03,348.5,355,355,347,1.61,2.31
2019-12-02,349.5,347,353,347,1.07,-0.43
2019-11-29,349,348.5,350,346,0.3,-0.14
2019-11-28,353.5,349,354.5,348,0.2,-1.13
2019-11-27,357,353,362.5,350,1.08,-1.12
2019-11-26,350,357,358,350,0.69,2
2019-11-25,350,350,351.5,348,0.47,0.57
2019-11-22,346,348,351,346,2.09,1.16
2019-11-21,349,344,349,342,1.25,-1.43
2019-11-20,348,349,352.5,348,1.58,0.29
2019-11-19,348,348,354,345.5,1.39,0
2019-11-18,346,348,348,342,0.74,0.87
2019-11-15,349,345,349.5,338.5,4.51,-2.54
2019-11-14,355,354,358,348,0.49,-0.28
2019-11-13,344.5,355,355,340,0.86,3.05
2019-11-12,355.5,344.5,361.5,344.5,1.3,-2.96
2019-11-08,360,355,368,353,2.07,-0.84
2019-11-07,348.5,358,361.5,348,2.46,2.87
2019-11-06,331,348,354,331,1.86,4.82
2019-11-05,336,332,340,331,0.79,-0.9
2019-11-04,338,335,342,327.5,1.63,-1.03
2019-10-31,341.5,338.5,343,338,0.76,-0.73
