Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,0.68,0.63,0.68,0.62,0.3,0
2020-03-06,0.68,0.63,0.68,0.62,0.3,-4.09
2020-03-05,0.68,0.66,0.69,0.66,0.25,-1.35
2020-03-04,0.68,0.67,0.69,0.66,0.33,-2.19
2020-03-03,0.66,0.68,0.69,0.66,0.55,5.39
2020-03-02,0.64,0.65,0.66,0.62,0.61,9.08
2020-02-28,0.63,0.59,0.63,0.53,1.27,-6.15
2020-02-27,0.69,0.63,0.71,0.63,0.81,-11.08
2020-02-26,0.7,0.71,0.71,0.67,0.65,2.44
2020-02-25,0.75,0.7,0.77,0.68,1.18,-6.2
2020-02-24,0.79,0.74,0.79,0.74,0.9,-6.43
2020-02-21,0.8,0.79,0.8,0.79,0.24,-0.63
2020-02-20,0.79,0.8,0.81,0.79,0.24,1.01
2020-02-19,0.79,0.79,0.79,0.79,0.19,0.25
2020-02-18,0.79,0.79,0.8,0.78,0.23,0.64
2020-02-17,0.8,0.78,0.8,0.78,0.41,-2.73
2020-02-14,0.81,0.81,0.81,0.79,0.32,-0.49
2020-02-13,0.82,0.81,0.82,0.8,0.29,-0.49
2020-02-12,0.8,0.81,0.82,0.8,0.4,1.5
2020-02-11,0.81,0.8,0.81,0.8,0.18,-0.37
2020-02-10,0.81,0.8,0.81,0.8,0.25,-0.74
2020-02-07,0.82,0.81,0.82,0.81,0.22,0
2020-02-06,0.81,0.81,0.82,0.81,0.22,0
2020-02-05,0.81,0.81,0.83,0.8,0.63,-0.49
2020-02-04,0.81,0.81,0.82,0.8,0.28,1.75
2020-02-03,0.8,0.8,0.81,0.79,0.31,0
2020-01-31,0.81,0.8,0.81,0.79,0.32,-0.62
2020-01-30,0.82,0.81,0.84,0.8,0.94,-2.54
2020-01-29,0.83,0.83,0.84,0.8,0.51,-0.48
2020-01-28,0.82,0.83,0.83,0.81,0.51,1.59
2020-01-27,0.83,0.82,0.83,0.8,0.91,-2.51
2020-01-24,0.85,0.84,0.87,0.83,0.88,0.72
2020-01-23,0.8,0.83,0.87,0.79,1.4,4.92
2020-01-22,0.81,0.79,0.82,0.78,0.9,-3.29
2020-01-21,0.84,0.82,0.84,0.81,0.4,-2.15
2020-01-20,0.82,0.84,0.86,0.82,0.8,1.58
2020-01-17,0.9,0.82,0.9,0.81,2.54,-6.99
2020-01-16,0.76,0.89,0.9,0.75,5.87,16.71
2020-01-15,0.79,0.76,0.79,0.76,0.83,-2.31
2020-01-14,0.78,0.78,0.79,0.76,0.48,0
2020-01-13,0.81,0.78,0.81,0.77,0.78,-2.87
2020-01-10,0.81,0.8,0.81,0.79,0.27,-0.99
2020-01-09,0.78,0.81,0.83,0.78,0.73,2.93
2020-01-08,0.8,0.79,0.81,0.78,0.9,-2.72
2020-01-07,0.8,0.81,0.81,0.79,0.43,-0.49
2020-01-03,0.81,0.81,0.82,0.79,0.56,-0.98
2020-01-02,0.8,0.82,0.83,0.8,1,-2.26
2019-12-31,0.84,0.84,0.84,0.84,0,0
2019-12-30,0.84,0.84,0.85,0.83,0.28,-0.47
2019-12-27,0.79,0.84,0.85,0.79,0.67,6.71
2019-12-24,0.79,0.79,0.79,0.79,0,0
2019-12-23,0.79,0.79,0.8,0.78,0.7,-0.38
2019-12-20,0.8,0.79,0.8,0.77,1.55,-0.63
2019-12-19,0.8,0.8,0.81,0.8,0.37,0
2019-12-18,0.81,0.8,0.83,0.79,0.78,-4.66
2019-12-17,0.82,0.84,0.84,0.8,0.55,1.33
2019-12-16,0.85,0.83,0.86,0.82,0.66,-2.59
2019-12-13,0.85,0.85,0.85,0.84,0.23,-1.05
2019-12-12,0.84,0.86,0.86,0.84,0.21,2.02
2019-12-11,0.86,0.84,0.86,0.84,0.21,-2.44
2019-12-10,0.88,0.86,0.88,0.86,0.12,-1.6
2019-12-09,0.86,0.88,0.88,0.85,0.17,1.74
2019-12-06,0.88,0.86,0.89,0.85,0.28,-2.27
2019-12-05,0.87,0.88,0.9,0.87,0.34,1.5
2019-12-04,0.85,0.87,0.88,0.84,0.35,2.12
2019-12-03,0.88,0.85,0.88,0.84,0.62,-2.41
2019-12-02,0.89,0.87,0.9,0.86,0.64,-2.25
2019-11-29,0.9,0.89,0.93,0.88,0.85,-1.66
2019-11-28,0.93,0.91,0.93,0.89,0.49,-1.09
2019-11-27,0.9,0.92,0.93,0.89,1.17,2.12
2019-11-26,0.87,0.9,0.92,0.86,1.37,2.99
2019-11-25,0.92,0.87,0.93,0.85,3.04,-6.25
2019-11-22,0.93,0.93,0.98,0.88,4.72,5.69
2019-11-21,0.84,0.88,0.89,0.82,1.15,4.52
2019-11-20,0.85,0.84,0.85,0.83,0.73,0
2019-11-19,0.9,0.84,0.9,0.81,2.12,-5.62
2019-11-18,0.89,0.89,0.93,0.87,1.36,0.56
2019-11-15,0.85,0.89,0.89,0.82,1.93,7.14
2019-11-14,0.8,0.83,0.83,0.72,3.62,3.9
2019-11-13,0.86,0.8,0.88,0.79,2.96,-7.56
2019-11-12,0.94,0.86,0.94,0.86,2.82,-5.39
2019-11-08,0.94,0.91,0.95,0.9,2.95,-2.26
2019-11-07,0.95,0.93,0.98,0.92,1.43,-1.69
2019-11-06,0.93,0.95,1.01,0.91,3.5,1.83
2019-11-05,1.04,0.93,1.05,0.93,3.98,-9.81
2019-11-04,1.07,1.03,1.07,1.01,1.99,-3.74
2019-10-31,1.07,1.07,1.09,1.04,0.87,0.75
2019-10-30,1.03,1.06,1.09,1.03,0.9,-1.48
2019-10-29,1.05,1.08,1.08,1.03,0.79,2.67
2019-10-28,1.06,1.05,1.1,1.03,0.65,-0.94
2019-10-25,1.12,1.06,1.12,1.06,1.04,-5.19
2019-10-24,1.13,1.12,1.15,1.1,0.49,-1.06
2019-10-23,1.14,1.13,1.14,1.09,0.78,-1.57
2019-10-22,1.15,1.15,1.19,1.13,1.18,-1.88
2019-10-21,1.19,1.17,1.2,1.15,1.56,-0.51
2019-10-18,1.13,1.18,1.21,1.12,2.94,4.63
2019-10-17,1.12,1.12,1.15,1.11,1.04,0.54
2019-10-16,1.12,1.12,1.13,1.1,0.63,-0.89
2019-10-15,1.11,1.13,1.15,1.08,2,0.89
2019-10-14,1.01,1.12,1.16,1,3.73,10.91
2019-10-11,0.99,1.01,1.02,0.99,0.53,1.31
2019-10-10,1,0.99,1.01,0.98,0.35,0
2019-10-09,1,0.99,1.04,0.98,0.69,-0.1
2019-10-08,1,1,1.01,0.98,0.14,0
2019-10-07,0.97,1,1.01,0.97,0.33,1.84
2019-10-04,0.98,0.98,0.99,0.97,0.21,-0.2
2019-10-03,0.96,0.98,0.99,0.95,0.48,3.16
2019-10-02,0.95,0.95,0.98,0.95,0.35,0
2019-10-01,0.96,0.95,0.98,0.94,0.35,-1.04
2019-09-30,0.99,0.96,0.99,0.96,0.31,-3.03
2019-09-27,0.98,0.99,1,0.96,0.6,0.41
2019-09-26,0.98,0.99,1.03,0.97,0.8,0.82
2019-09-25,0.97,0.98,0.98,0.96,0.18,0.82
2019-09-24,0.98,0.97,0.98,0.96,0.18,-0.92
2019-09-23,0.97,0.98,0.99,0.97,0.24,0.93
2019-09-20,0.99,0.97,1,0.97,0.58,-2.61
2019-09-19,1,1,1,0.98,0.24,-0.4
2019-09-18,1.01,1,1.02,0.99,0.29,-0.4
2019-09-17,1,1,1.01,0.99,0.27,0.4
2019-09-16,1,1,1.01,0.99,0.2,1.01
2019-09-13,1.01,0.99,1.01,0.98,0.53,-1.39
2019-09-12,1.02,1,1.04,0.99,0.76,-0.99
2019-09-11,1.03,1.01,1.03,0.99,0.39,-0.2
2019-09-10,1.04,1.02,1.04,1,0.44,-2.5
2019-09-09,1.01,1.04,1.04,0.99,1,2.76
2019-09-06,0.96,1.01,1.02,0.96,0.9,5.19
2019-09-05,0.98,0.96,0.98,0.95,0.34,-1.73
2019-09-04,0.98,0.98,0.99,0.97,0.29,3.05
2019-09-02,0.97,0.95,0.97,0.94,0.31,-1.86
2019-08-30,0.9,0.97,0.99,0.89,2.1,5.43
2019-08-29,0.93,0.92,0.94,0.9,0.89,0
2019-08-28,0.97,0.92,0.99,0.91,1.01,-5.93
2019-08-27,1.01,0.98,1.02,0.97,0.81,-3.17
2019-08-26,1.01,1.01,1.08,0.99,0.85,-0.59
2019-08-23,1.03,1.02,1.05,1.01,0.34,-1.55
2019-08-22,1.08,1.03,1.1,1.03,0.31,-3.73
2019-08-21,1.05,1.07,1.1,1.05,0.42,1.9
2019-08-20,1.09,1.05,1.1,1.04,0.61,-3.31
2019-08-19,1.06,1.09,1.12,1.06,2.13,3.62
2019-08-16,0.96,1.05,1.07,0.95,2.3,9.95
2019-08-14,0.93,0.95,0.97,0.92,0.09,2.69
2019-08-13,0.94,0.93,0.94,0.93,0.09,-1.59
2019-08-12,0.94,0.94,0.97,0.93,0.18,-0.42
2019-08-09,0.97,0.95,0.97,0.94,0.1,-2.47
2019-08-08,0.96,0.97,0.98,0.94,0.18,1.35
2019-08-07,0.97,0.96,0.97,0.95,0.17,-0.83
2019-08-06,0.95,0.97,0.97,0.92,0.17,1.89
2019-08-05,0.97,0.95,0.98,0.95,0.12,-2.96
2019-08-02,0.99,0.98,0.99,0.96,0.12,0.2
2019-08-01,1,0.98,1,0.98,0.17,-2.01
2019-07-31,0.98,1,1,0.97,0.19,1.84
2019-07-30,0.98,0.98,0.98,0.97,0.03,-0.1
2019-07-29,0.98,0.98,0.98,0.97,0.09,0
2019-07-26,0.99,0.98,1,0.98,0.09,-0.81
2019-07-25,0.99,0.99,1,0.98,0.07,-0.6
2019-07-24,0.98,0.99,1.01,0.97,0.14,1.84
2019-07-23,0.98,0.98,0.98,0.98,0.06,-0.61
2019-07-22,0.98,0.98,0.98,0.98,0.08,-0.1
2019-07-19,0.99,0.98,0.99,0.98,0.1,-1.01
2019-07-18,0.99,0.99,1,0.98,0.09,0.2
