Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
2020-03-06,306.5,305,307,291,9.72,0
2020-03-06,306.5,305,307,291,9.72,-3.17
2020-03-05,344,315,344,310,11.66,-4.55
2020-03-04,324,330,340.5,315,11.86,-3.08
2020-03-03,325.5,340.5,340.5,320,18.45,9.84
2020-03-02,305,310,324.5,283.5,19.45,11.51
2020-02-28,292,278,303.5,263,33.4,-12.99
2020-02-27,349,319.5,349,311.5,9.36,-7.39
2020-02-26,328,345,354.5,311.5,21.02,2.07
2020-02-25,366,338,367,317.5,18.96,-8.53
2020-02-24,384,369.5,385,362,11.75,-5.26
2020-02-21,378.5,390,391,376,2.65,2.63
2020-02-20,389,380,389,373.5,4.02,-2.31
2020-02-19,387.5,389,389,381.5,3.22,0.52
2020-02-18,382,387,387,381,3.63,1.84
2020-02-17,372.5,380,384,372.5,4.18,2.15
2020-02-14,369.5,372,373,365,2.14,0.68
2020-02-13,365,369.5,375,362,2.37,0
2020-02-12,375,369.5,383,357,8.6,-1.2
2020-02-11,340,374,376,340,10.58,10.49
2020-02-10,319,338.5,343,317.5,6.42,6.11
2020-02-07,320,319,322,316,1.63,-0.31
2020-02-06,327,320,327,315,3.49,-0.93
2020-02-05,317,323,332.5,317,6.67,3.19
2020-02-04,298,313,317.5,297,5.97,6.1
2020-02-03,274.5,295,298,273,4.63,7.27
2020-01-31,272,275,275,267.5,0.99,1.1
2020-01-30,276,272,276,271.5,0.91,-1.81
2020-01-29,272,277,279.5,272,1.28,2.03
2020-01-28,258,271.5,272,258,1.21,4.02
2020-01-27,264.5,261,265.5,256.5,3.16,-1.69
2020-01-24,266.5,265.5,274.5,260.5,2.33,-0.38
2020-01-23,272.5,266.5,273,266.5,2.02,-2.74
2020-01-22,277,274,278,272,1.35,-1.08
2020-01-21,282,277,284,277,1.15,-1.77
2020-01-20,275,282,282,273,1.71,2.17
2020-01-17,268,276,276,264,2.23,-0.36
2020-01-16,267,277,277,267,3.79,3.75
2020-01-15,283,267,283,266,10.27,-5.32
2020-01-14,264,282,282,262,3.25,6.02
2020-01-13,260,266,266,258.5,1.05,2.31
2020-01-10,258,260,264,257.5,2.47,0.78
2020-01-09,246,258,258,245.5,4.11,4.88
2020-01-08,248,246,248,241,3.26,-0.81
2020-01-07,248,248,250,245,0.87,1.22
2020-01-03,248,245,248,243.5,1.51,-1.21
2020-01-02,240,248,248,240,1.5,3.77
2019-12-31,239,239,239,239,0,0
2019-12-30,232.5,239,239,232,1.79,3.02
2019-12-27,229,232,232,228.5,1.09,2.2
2019-12-24,227,227,227,227,0,0
2019-12-23,230,227,230,226.5,1.14,-1.3
2019-12-20,230,230,232,225,1.7,0
2019-12-19,233,230,234.5,228.5,1.84,-1.29
2019-12-18,230,233,234.5,228,1.17,1.75
2019-12-17,224,229,229,216.5,3.55,2
2019-12-16,234.5,224.5,234.5,224,2.73,-3.44
2019-12-13,236.5,232.5,237,230,1.55,-1.06
2019-12-12,229,235,235.5,229,4.98,3.07
2019-12-11,220,228,228,218,3.68,3.64
2019-12-10,208,220,220,207,3.09,5.52
2019-12-09,212,208.5,212,207,0.99,-1.65
2019-12-06,210.5,212,213,206.5,1.42,-0.47
2019-12-05,209.5,213,214,205,2.73,0.71
2019-12-04,206.5,211.5,214.5,203,5.67,2.42
2019-12-03,196,206.5,208,193.6,7.86,5.36
2019-12-02,200,196,200,189.2,10.79,9.99
2019-11-29,177,178.2,179.2,177,0.31,0.22
2019-11-28,177.8,177.8,178,175.8,0.25,0.79
2019-11-27,176.8,176.4,177.8,175,0.13,0.11
2019-11-26,178,176.2,179,176,0.19,-0.45
2019-11-25,174,177,178,174,0.69,2.31
2019-11-22,175.4,173,178.8,173,0.38,-1.26
2019-11-21,178,175.2,178,175,0.14,-2.01
2019-11-20,179.2,178.8,179.2,176,0.19,-0.22
2019-11-19,179.4,179.2,181.8,178.2,0.49,0
2019-11-18,180,179.2,183,178.6,0.55,-0.11
2019-11-15,174.6,179.4,179.4,174.6,0.46,2.99
2019-11-14,174.2,174.2,176.4,173,0.43,0
2019-11-13,172.4,174.2,177.2,170.6,0.84,1.28
2019-11-12,176,172,176,171.8,0.93,-2.16
2019-11-08,175.2,175.8,178.2,174.4,0.78,-0.34
2019-11-07,179.2,176.4,179.2,175,0.67,-1.45
2019-11-06,180.8,179,180.8,178.2,0.34,-1.1
2019-11-05,180,181,182.6,178.4,0.5,1.57
2019-11-04,180,178.2,181.6,176.6,0.71,-0.22
2019-10-31,177.2,178.6,179.6,173.6,0.57,0
2019-10-30,182.6,178.6,183.6,178.6,0.57,-2.19
2019-10-29,181.4,182.6,184,179.2,0.38,0.44
2019-10-28,182,181.8,183,179.6,0.29,-0.11
2019-10-25,184,182,184,179.4,1.44,0
2019-10-24,181,182,184,180.4,0.2,0.22
2019-10-23,184.8,181.6,185.2,181.6,0.58,-2.37
2019-10-22,187,186,189.2,185,0.36,-0.53
2019-10-21,187.8,187,188,186.4,0.2,-0.43
2019-10-18,190.4,187.8,190.4,185,0.34,-1.57
2019-10-17,190.4,190.8,190.8,186.8,0.43,0.21
2019-10-16,188.6,190.4,192,188.6,0.44,-0.1
2019-10-15,192,190.6,192,188.6,0.49,-0.21
2019-10-14,188.6,191,191,186.4,0.73,1.06
2019-10-11,188,189,190.8,187.6,0.41,0.96
2019-10-10,189,187.2,189.6,186.2,0.39,-0.95
2019-10-09,190.6,189,190.6,186.2,0.41,-0.53
2019-10-08,188.2,190,191.4,188,0.79,1.17
2019-10-07,184.2,187.8,187.8,184.2,0.6,2.51
2019-10-04,178,183.2,183.2,178,0.67,3.27
2019-10-03,177,177.4,180,172,1.71,-0.34
2019-10-02,184.4,178,185,178,2.28,-4.81
2019-10-01,190,187,190,182,1.76,-0.74
2019-09-30,191.6,188.4,192,182.6,3.98,-1.67
2019-09-27,193.4,191.6,194.4,190.2,0.45,-0.93
2019-09-26,191.8,193.4,194.6,189.2,0.45,0.83
2019-09-25,190,191.8,192,188,0.65,0.42
2019-09-24,188,191,191.2,187,0.66,1.17
2019-09-23,185.8,188.8,191.8,185.8,1.34,2.61
2019-09-20,190,184,192,184,1.85,-3.16
2019-09-19,187.6,190,190,187.4,0.52,1.17
2019-09-18,187.8,187.8,189,186,0.86,0
2019-09-17,192.6,187.8,196,187.4,3.61,-2.39
2019-09-16,183.6,192.4,192.4,182.4,2.01,4.79
2019-09-13,181.6,183.6,184,180.4,0.75,1.77
2019-09-12,181,180.4,182,179.4,0.6,-0.66
2019-09-11,178.4,181.6,181.6,177,0.42,2.25
2019-09-10,179.4,177.6,179.4,177.6,0.17,-1
2019-09-09,178,179.4,179.6,176.8,0.42,0.79
